timestamp,protocolo,ip_origem,porta_origem,ip_destino,porta_destino,tamanho_pacote,tamanho_payload,ip_ttl,flags_tcp,numero_sequencia_tcp,numero_ack_tcp,tamanho_janela_tcp,auth_header_presente
1779981317.748807,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.748813,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.748813,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.748814,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.748815,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.748816,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.748816,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.748817,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.748818,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.74882,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.749324,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.749408,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.74944,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.749465,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.750241,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.750357,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.750468,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.750612,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.75102,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.75108,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.762181,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.762352,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.762613,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.762714,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.764111,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.764474,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.764699,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.764768,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.765828,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.765905,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.766215,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.766276,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.767093,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.767454,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.768014,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.76807,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.768923,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.769014,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.769745,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.769898,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.774343,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.774767,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.775006,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.775113,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.776456,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.77656,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.776842,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.776933,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.77795,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.778384,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.779485,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.779595,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.779892,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.779997,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.781396,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.7815,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.78232,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.782692,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.782783,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.782873,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.78658,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.786676,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.786976,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.787034,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.788015,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.788345,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.789567,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.789647,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.790205,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.790271,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.791686,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.791803,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.793078,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.79348,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.793637,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.793734,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.795191,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.795355,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.79565,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.79581,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.798406,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.798773,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.798804,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.79885,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.799891,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.799983,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.801509,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.801664,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.802111,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.802511,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.803101,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.803167,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.805513,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.8056,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.806017,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.806109,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.80704,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.807436,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.808094,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.808179,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.810418,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.810501,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
1779981317.810878,UDP,172.18.0.4,38281,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981317.810963,UDP,172.18.0.2,5000,172.18.0.4,38281,106,64,64,,,,,Sim
