timestamp,protocolo,ip_origem,porta_origem,ip_destino,porta_destino,tamanho_pacote,tamanho_payload,ip_ttl,flags_tcp,numero_sequencia_tcp,numero_ack_tcp,tamanho_janela_tcp,auth_header_presente
1779981312.835735,TCP,172.18.0.4,36928,172.18.0.3,5001,74,0,64,SYN,1824147950,0,64240,Nao
1779981312.836023,TCP,172.18.0.3,5001,172.18.0.4,36928,74,0,64,"SYN,ACK",3367024059,1824147951,65160,Nao
1779981312.846151,TCP,172.18.0.4,36928,172.18.0.3,5001,66,0,64,ACK,1824147951,3367024060,502,Nao
1779981312.848268,TCP,172.18.0.4,36928,172.18.0.3,5001,1090,1024,64,"PSH,ACK",1824147951,3367024060,502,Nao
1779981312.848271,TCP,172.18.0.4,36928,172.18.0.3,5001,1514,1448,64,ACK,1824148975,3367024060,502,Nao
1779981312.848272,TCP,172.18.0.4,36928,172.18.0.3,5001,1514,1448,64,ACK,1824150423,3367024060,502,Nao
1779981312.84833,TCP,172.18.0.3,5001,172.18.0.4,36928,66,0,64,ACK,3367024060,1824148975,532,Nao
1779981312.848346,TCP,172.18.0.3,5001,172.18.0.4,36928,66,0,64,ACK,3367024060,1824150423,555,Nao
1779981312.848354,TCP,172.18.0.3,5001,172.18.0.4,36928,66,0,64,ACK,3367024060,1824151871,578,Nao
1779981312.848616,TCP,172.18.0.4,36928,172.18.0.3,5001,1514,1448,64,ACK,1824151871,3367024060,502,Nao
1779981312.848618,TCP,172.18.0.4,36928,172.18.0.3,5001,1514,1448,64,ACK,1824153319,3367024060,502,Nao
1779981312.848654,TCP,172.18.0.3,5001,172.18.0.4,36928,66,0,64,ACK,3367024060,1824153319,594,Nao
1779981312.848665,TCP,172.18.0.3,5001,172.18.0.4,36928,66,0,64,ACK,3367024060,1824154767,587,Nao
1779981312.848857,TCP,172.18.0.4,36928,172.18.0.3,5001,1514,1448,64,ACK,1824154767,3367024060,502,Nao
1779981312.84886,TCP,172.18.0.4,36928,172.18.0.3,5001,1514,1448,64,ACK,1824156215,3367024060,502,Nao
1779981312.848861,TCP,172.18.0.4,36928,172.18.0.3,5001,1514,1448,64,ACK,1824157663,3367024060,502,Nao
1779981312.848905,TCP,172.18.0.3,5001,172.18.0.4,36928,66,0,64,ACK,3367024060,1824156215,580,Nao
1779981312.848915,TCP,172.18.0.3,5001,172.18.0.4,36928,66,0,64,ACK,3367024060,1824157663,573,Nao
1779981312.848921,TCP,172.18.0.3,5001,172.18.0.4,36928,66,0,64,ACK,3367024060,1824159111,566,Nao
1779981312.849094,TCP,172.18.0.4,36928,172.18.0.3,5001,1514,1448,64,ACK,1824159111,3367024060,502,Nao
1779981312.849096,TCP,172.18.0.4,36928,172.18.0.3,5001,1514,1448,64,ACK,1824160559,3367024060,502,Nao
1779981312.849123,TCP,172.18.0.3,5001,172.18.0.4,36928,66,0,64,ACK,3367024060,1824160559,559,Nao
1779981312.849131,TCP,172.18.0.3,5001,172.18.0.4,36928,66,0,64,ACK,3367024060,1824162007,552,Nao
1779981312.858393,TCP,172.18.0.4,36928,172.18.0.3,5001,2962,2896,64,"PSH,ACK",1824162007,3367024060,502,Nao
1779981312.858397,TCP,172.18.0.4,36928,172.18.0.3,5001,2962,2896,64,"PSH,ACK",1824164903,3367024060,502,Nao
1779981312.858399,TCP,172.18.0.4,36928,172.18.0.3,5001,2962,2896,64,"PSH,ACK",1824167799,3367024060,502,Nao
1779981312.85852,TCP,172.18.0.3,5001,172.18.0.4,36928,66,0,64,ACK,3367024060,1824164903,614,Nao
1779981312.858546,TCP,172.18.0.3,5001,172.18.0.4,36928,66,0,64,ACK,3367024060,1824167799,596,Nao
1779981312.858657,TCP,172.18.0.3,5001,172.18.0.4,36928,66,0,64,ACK,3367024060,1824170695,578,Nao
1779981312.858685,TCP,172.18.0.4,36928,172.18.0.3,5001,2962,2896,64,"PSH,ACK",1824170695,3367024060,502,Nao
1779981312.858687,TCP,172.18.0.4,36928,172.18.0.3,5001,2962,2896,64,"PSH,ACK",1824173591,3367024060,502,Nao
1779981312.85873,TCP,172.18.0.3,5001,172.18.0.4,36928,66,0,64,ACK,3367024060,1824173591,556,Nao
1779981312.858755,TCP,172.18.0.3,5001,172.18.0.4,36928,66,0,64,ACK,3367024060,1824176487,534,Nao
1779981312.858962,TCP,172.18.0.4,36928,172.18.0.3,5001,2962,2896,64,"PSH,ACK",1824176487,3367024060,502,Nao
1779981312.858966,TCP,172.18.0.4,36928,172.18.0.3,5001,2962,2896,64,"PSH,ACK",1824179383,3367024060,502,Nao
1779981312.858968,TCP,172.18.0.4,36928,172.18.0.3,5001,2962,2896,64,"PSH,ACK",1824182279,3367024060,502,Nao
1779981312.85904,TCP,172.18.0.3,5001,172.18.0.4,36928,66,0,64,ACK,3367024060,1824179383,554,Nao
1779981312.859051,TCP,172.18.0.3,5001,172.18.0.4,36928,66,0,64,ACK,3367024060,1824182279,540,Nao
1779981312.859058,TCP,172.18.0.3,5001,172.18.0.4,36928,66,0,64,ACK,3367024060,1824185175,526,Nao
1779981312.859142,TCP,172.18.0.4,36928,172.18.0.3,5001,2962,2896,64,"PSH,ACK",1824185175,3367024060,502,Nao
1779981312.859144,TCP,172.18.0.4,36928,172.18.0.3,5001,2962,2896,64,"PSH,ACK",1824188071,3367024060,502,Nao
1779981312.859186,TCP,172.18.0.3,5001,172.18.0.4,36928,66,0,64,ACK,3367024060,1824188071,512,Nao
1779981312.859193,TCP,172.18.0.3,5001,172.18.0.4,36928,66,0,64,ACK,3367024060,1824190967,498,Nao
1779981312.868567,TCP,172.18.0.4,36928,172.18.0.3,5001,2962,2896,64,"PSH,ACK",1824190967,3367024060,502,Nao
1779981312.86857,TCP,172.18.0.4,36928,172.18.0.3,5001,4410,4344,64,"PSH,ACK",1824193863,3367024060,502,Nao
1779981312.868571,TCP,172.18.0.4,36928,172.18.0.3,5001,4410,4344,64,"PSH,ACK",1824198207,3367024060,502,Nao
1779981312.868613,TCP,172.18.0.3,5001,172.18.0.4,36928,66,0,64,ACK,3367024060,1824193863,614,Nao
1779981312.868635,TCP,172.18.0.3,5001,172.18.0.4,36928,66,0,64,ACK,3367024060,1824202551,582,Nao
1779981312.868688,TCP,172.18.0.4,36928,172.18.0.3,5001,5858,5792,64,"PSH,ACK",1824202551,3367024060,502,Nao
1779981312.868796,TCP,172.18.0.4,36928,172.18.0.3,5001,5858,5792,64,"PSH,ACK",1824208343,3367024060,502,Nao
1779981312.868953,TCP,172.18.0.3,5001,172.18.0.4,36928,66,0,64,ACK,3367024060,1824214135,551,Nao
1779981312.869076,TCP,172.18.0.4,36928,172.18.0.3,5001,7306,7240,64,"PSH,ACK",1824214135,3367024060,502,Nao
