timestamp,protocolo,ip_origem,porta_origem,ip_destino,porta_destino,tamanho_pacote,tamanho_payload,ip_ttl,flags_tcp,numero_sequencia_tcp,numero_ack_tcp,tamanho_janela_tcp,auth_header_presente
1779981507.581196,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981507.581202,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981507.581204,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981507.581205,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981507.581206,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981507.581207,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981507.581208,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981507.581209,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981507.58121,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981507.581212,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981507.58192,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
1779981507.582069,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
1779981507.582118,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
1779981507.582155,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
1779981507.583111,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
1779981507.58319,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
1779981507.583329,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
1779981507.583493,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
1779981507.583867,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
1779981507.583924,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
1779981507.634632,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981507.634934,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
1779981507.635035,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981507.635193,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
1779981507.635971,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981507.636488,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
1779981507.637483,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981507.637579,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
1779981507.640601,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981507.640935,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
1779981507.642135,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981507.642237,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
