timestamp,protocolo,ip_origem,porta_origem,ip_destino,porta_destino,tamanho_pacote,tamanho_payload,ip_ttl,flags_tcp,numero_sequencia_tcp,numero_ack_tcp,tamanho_janela_tcp,auth_header_presente
1779981398.316987,TCP,172.18.0.4,40664,172.18.0.3,5001,74,0,64,SYN,3841126405,0,64240,Nao
1779981398.317283,TCP,172.18.0.3,5001,172.18.0.4,40664,74,0,64,"SYN,ACK",3828198140,3841126406,65160,Nao
1779981398.367403,TCP,172.18.0.4,40664,172.18.0.3,5001,66,0,64,ACK,3841126406,3828198141,502,Nao
1779981398.369205,TCP,172.18.0.4,40664,172.18.0.3,5001,1090,1024,64,"PSH,ACK",3841126406,3828198141,502,Nao
1779981398.369207,TCP,172.18.0.4,40664,172.18.0.3,5001,1514,1448,64,ACK,3841127430,3828198141,502,Nao
1779981398.369208,TCP,172.18.0.4,40664,172.18.0.3,5001,1514,1448,64,ACK,3841128878,3828198141,502,Nao
1779981398.369262,TCP,172.18.0.3,5001,172.18.0.4,40664,66,0,64,ACK,3828198141,3841127430,532,Nao
1779981398.369276,TCP,172.18.0.3,5001,172.18.0.4,40664,66,0,64,ACK,3828198141,3841128878,555,Nao
1779981398.369283,TCP,172.18.0.3,5001,172.18.0.4,40664,66,0,64,ACK,3828198141,3841130326,578,Nao
1779981398.369385,TCP,172.18.0.4,40664,172.18.0.3,5001,1514,1448,64,ACK,3841130326,3828198141,502,Nao
1779981398.36941,TCP,172.18.0.3,5001,172.18.0.4,40664,66,0,64,ACK,3828198141,3841131774,594,Nao
1779981398.36956,TCP,172.18.0.4,40664,172.18.0.3,5001,1514,1448,64,ACK,3841133222,3828198141,502,Nao
1779981398.369562,TCP,172.18.0.4,40664,172.18.0.3,5001,1514,1448,64,ACK,3841134670,3828198141,502,Nao
1779981398.369563,TCP,172.18.0.4,40664,172.18.0.3,5001,1514,1448,64,ACK,3841136118,3828198141,502,Nao
1779981398.369618,TCP,172.18.0.3,5001,172.18.0.4,40664,78,0,64,ACK,3828198141,3841131774,594,Nao
1779981398.36968,TCP,172.18.0.3,5001,172.18.0.4,40664,78,0,64,ACK,3828198141,3841131774,594,Nao
1779981398.3697,TCP,172.18.0.3,5001,172.18.0.4,40664,78,0,64,ACK,3828198141,3841131774,594,Nao
1779981398.369736,TCP,172.18.0.4,40664,172.18.0.3,5001,1514,1448,64,ACK,3841137566,3828198141,502,Nao
1779981398.369738,TCP,172.18.0.4,40664,172.18.0.3,5001,1514,1448,64,ACK,3841139014,3828198141,502,Nao
1779981398.369766,TCP,172.18.0.3,5001,172.18.0.4,40664,78,0,64,ACK,3828198141,3841131774,594,Nao
1779981398.369773,TCP,172.18.0.3,5001,172.18.0.4,40664,78,0,64,ACK,3828198141,3841131774,594,Nao
1779981398.419328,TCP,172.18.0.4,40664,172.18.0.3,5001,2962,2896,64,"PSH,ACK",3841140462,3828198141,502,Nao
1779981398.419335,TCP,172.18.0.4,40664,172.18.0.3,5001,2962,2896,64,"PSH,ACK",3841143358,3828198141,502,Nao
1779981398.419336,TCP,172.18.0.4,40664,172.18.0.3,5001,2962,2896,64,"PSH,ACK",3841146254,3828198141,502,Nao
1779981398.419434,TCP,172.18.0.3,5001,172.18.0.4,40664,78,0,64,ACK,3828198141,3841131774,594,Nao
1779981398.419456,TCP,172.18.0.4,40664,172.18.0.3,5001,2962,2896,64,"PSH,ACK",3841149150,3828198141,502,Nao
1779981398.419459,TCP,172.18.0.3,5001,172.18.0.4,40664,78,0,64,ACK,3828198141,3841131774,594,Nao
1779981398.419467,TCP,172.18.0.3,5001,172.18.0.4,40664,78,0,64,ACK,3828198141,3841131774,594,Nao
1779981398.419487,TCP,172.18.0.3,5001,172.18.0.4,40664,78,0,64,ACK,3828198141,3841131774,594,Nao
1779981398.419741,TCP,172.18.0.4,40664,172.18.0.3,5001,2962,2896,64,"PSH,ACK",3841152046,3828198141,502,Nao
1779981398.419743,TCP,172.18.0.4,40664,172.18.0.3,5001,1514,1448,64,ACK,3841131774,3828198141,502,Nao
1779981398.419851,TCP,172.18.0.3,5001,172.18.0.4,40664,78,0,64,ACK,3828198141,3841131774,594,Nao
1779981398.419866,TCP,172.18.0.4,40664,172.18.0.3,5001,1514,1448,64,ACK,3841154942,3828198141,502,Nao
1779981398.419868,TCP,172.18.0.3,5001,172.18.0.4,40664,66,0,64,ACK,3828198141,3841154942,512,Nao
1779981398.419894,TCP,172.18.0.3,5001,172.18.0.4,40664,66,0,64,ACK,3828198141,3841156390,516,Nao
1779981398.469498,TCP,172.18.0.4,40664,172.18.0.3,5001,1514,1448,64,ACK,3841156390,3828198141,502,Nao
1779981398.469504,TCP,172.18.0.4,40664,172.18.0.3,5001,1514,1448,64,ACK,3841157838,3828198141,502,Nao
1779981398.469505,TCP,172.18.0.4,40664,172.18.0.3,5001,1514,1448,64,ACK,3841159286,3828198141,502,Nao
1779981398.469613,TCP,172.18.0.3,5001,172.18.0.4,40664,66,0,64,ACK,3828198141,3841157838,616,Nao
1779981398.469629,TCP,172.18.0.3,5001,172.18.0.4,40664,66,0,64,ACK,3828198141,3841159286,610,Nao
1779981398.469633,TCP,172.18.0.3,5001,172.18.0.4,40664,66,0,64,ACK,3828198141,3841160734,599,Nao
1779981398.469907,TCP,172.18.0.4,40664,172.18.0.3,5001,2962,2896,64,"PSH,ACK",3841160734,3828198141,502,Nao
1779981398.469912,TCP,172.18.0.4,40664,172.18.0.3,5001,2962,2896,64,"PSH,ACK",3841163630,3828198141,502,Nao
1779981398.469955,TCP,172.18.0.3,5001,172.18.0.4,40664,66,0,64,ACK,3828198141,3841163630,607,Nao
1779981398.469973,TCP,172.18.0.3,5001,172.18.0.4,40664,66,0,64,ACK,3828198141,3841166526,593,Nao
1779981398.519717,TCP,172.18.0.4,40664,172.18.0.3,5001,1514,1448,64,ACK,3841166526,3828198141,502,Nao
1779981398.519723,TCP,172.18.0.4,40664,172.18.0.3,5001,2962,2896,64,"PSH,ACK",3841167974,3828198141,502,Nao
1779981398.519858,TCP,172.18.0.3,5001,172.18.0.4,40664,66,0,64,ACK,3828198141,3841167974,621,Nao
1779981398.519897,TCP,172.18.0.3,5001,172.18.0.4,40664,66,0,64,ACK,3828198141,3841170870,621,Nao
1779981398.520026,TCP,172.18.0.4,40664,172.18.0.3,5001,1514,1448,64,ACK,3841170870,3828198141,502,Nao
1779981398.52003,TCP,172.18.0.4,40664,172.18.0.3,5001,2962,2896,64,"PSH,ACK",3841175214,3828198141,502,Nao
1779981398.520121,TCP,172.18.0.3,5001,172.18.0.4,40664,66,0,64,ACK,3828198141,3841172318,644,Nao
1779981398.520144,TCP,172.18.0.3,5001,172.18.0.4,40664,78,0,64,ACK,3828198141,3841172318,689,Nao
1779981398.569949,TCP,172.18.0.4,40664,172.18.0.3,5001,1514,1448,64,ACK,3841178110,3828198141,502,Nao
1779981398.56996,TCP,172.18.0.4,40664,172.18.0.3,5001,2962,2896,64,"PSH,ACK",3841179558,3828198141,502,Nao
1779981398.570068,TCP,172.18.0.3,5001,172.18.0.4,40664,78,0,64,ACK,3828198141,3841172318,712,Nao
1779981398.570088,TCP,172.18.0.3,5001,172.18.0.4,40664,78,0,64,ACK,3828198141,3841172318,757,Nao
1779981398.570234,TCP,172.18.0.4,40664,172.18.0.3,5001,2962,2896,64,"PSH,ACK",3841182454,3828198141,502,Nao
1779981398.570286,TCP,172.18.0.3,5001,172.18.0.4,40664,78,0,64,ACK,3828198141,3841172318,802,Nao
1779981398.588128,TCP,172.18.0.4,40664,172.18.0.3,5001,1514,1448,64,ACK,3841172318,3828198141,502,Nao
1779981398.588206,TCP,172.18.0.3,5001,172.18.0.4,40664,78,0,64,ACK,3828198141,3841173766,825,Nao
1779981398.62018,TCP,172.18.0.4,40664,172.18.0.3,5001,1514,1448,64,ACK,3841173766,3828198141,502,Nao
1779981398.6203,TCP,172.18.0.3,5001,172.18.0.4,40664,66,0,64,ACK,3828198141,3841185350,847,Nao
1779981398.620342,TCP,172.18.0.4,40664,172.18.0.3,5001,2962,2896,64,"PSH,ACK",3841185350,3828198141,502,Nao
1779981398.620369,TCP,172.18.0.3,5001,172.18.0.4,40664,66,0,64,ACK,3828198141,3841188246,893,Nao
1779981398.638275,TCP,172.18.0.4,40664,172.18.0.3,5001,1514,1448,64,ACK,3841188246,3828198141,502,Nao
1779981398.638377,TCP,172.18.0.3,5001,172.18.0.4,40664,66,0,64,ACK,3828198141,3841189694,915,Nao
1779981398.67042,TCP,172.18.0.4,40664,172.18.0.3,5001,1514,1448,64,ACK,3841189694,3828198141,502,Nao
1779981398.670526,TCP,172.18.0.3,5001,172.18.0.4,40664,66,0,64,ACK,3828198141,3841191142,938,Nao
1779981398.688448,TCP,172.18.0.4,40664,172.18.0.3,5001,2962,2896,64,"PSH,ACK",3841194038,3828198141,502,Nao
1779981398.688504,TCP,172.18.0.3,5001,172.18.0.4,40664,78,0,64,ACK,3828198141,3841191142,983,Nao
1779981398.720646,TCP,172.18.0.4,40664,172.18.0.3,5001,1514,1448,64,ACK,3841196934,3828198141,502,Nao
1779981398.720713,TCP,172.18.0.3,5001,172.18.0.4,40664,78,0,64,ACK,3828198141,3841191142,1006,Nao
1779981398.739109,TCP,172.18.0.4,40664,172.18.0.3,5001,1514,1448,64,ACK,3841191142,3828198141,502,Nao
1779981398.739209,TCP,172.18.0.3,5001,172.18.0.4,40664,78,0,64,ACK,3828198141,3841192590,1028,Nao
1779981398.770835,TCP,172.18.0.4,40664,172.18.0.3,5001,1514,1448,64,ACK,3841192590,3828198141,502,Nao
1779981398.770966,TCP,172.18.0.3,5001,172.18.0.4,40664,66,0,64,ACK,3828198141,3841198382,1051,Nao
1779981398.789278,TCP,172.18.0.4,40664,172.18.0.3,5001,1514,1448,64,ACK,3841198382,3828198141,502,Nao
1779981398.78938,TCP,172.18.0.3,5001,172.18.0.4,40664,66,0,64,ACK,3828198141,3841199830,1074,Nao
1779981398.8395,TCP,172.18.0.4,40664,172.18.0.3,5001,1514,1448,64,ACK,3841201278,3828198141,502,Nao
