timestamp,protocolo,ip_origem,porta_origem,ip_destino,porta_destino,tamanho_pacote,tamanho_payload,ip_ttl,flags_tcp,numero_sequencia_tcp,numero_ack_tcp,tamanho_janela_tcp,auth_header_presente
1779981767.950474,TCP,172.18.0.4,56468,172.18.0.3,5001,74,0,64,SYN,2066609385,0,64240,Nao
1779981767.950749,TCP,172.18.0.3,5001,172.18.0.4,56468,74,0,64,"SYN,ACK",3086702045,2066609386,65160,Nao
1779981768.050857,TCP,172.18.0.4,56468,172.18.0.3,5001,66,0,64,ACK,2066609386,3086702046,502,Nao
1779981768.052519,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066610410,3086702046,502,Nao
1779981768.052522,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066611858,3086702046,502,Nao
1779981768.05257,TCP,172.18.0.3,5001,172.18.0.4,56468,78,0,64,ACK,3086702046,2066609386,510,Nao
1779981768.052587,TCP,172.18.0.3,5001,172.18.0.4,56468,78,0,64,ACK,3086702046,2066609386,510,Nao
1779981768.052724,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066614754,3086702046,502,Nao
1779981768.052744,TCP,172.18.0.3,5001,172.18.0.4,56468,86,0,64,ACK,3086702046,2066609386,510,Nao
1779981768.052895,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066616202,3086702046,502,Nao
1779981768.052897,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066619098,3086702046,502,Nao
1779981768.052932,TCP,172.18.0.3,5001,172.18.0.4,56468,86,0,64,ACK,3086702046,2066609386,510,Nao
1779981768.053113,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066621994,3086702046,502,Nao
1779981768.054273,TCP,172.18.0.3,5001,172.18.0.4,56468,94,0,64,ACK,3086702046,2066609386,510,Nao
1779981768.152687,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066623442,3086702046,502,Nao
1779981768.152775,TCP,172.18.0.4,56468,172.18.0.3,5001,1090,1024,64,"PSH,ACK",2066609386,3086702046,502,Nao
1779981768.152836,TCP,172.18.0.3,5001,172.18.0.4,56468,94,0,64,ACK,3086702046,2066613306,480,Nao
1779981768.154325,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066613306,3086702046,502,Nao
1779981768.154327,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066617650,3086702046,502,Nao
1779981768.154328,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066620546,3086702046,502,Nao
1779981768.154404,TCP,172.18.0.3,5001,172.18.0.4,56468,86,0,64,ACK,3086702046,2066617650,533,Nao
1779981768.154415,TCP,172.18.0.3,5001,172.18.0.4,56468,78,0,64,ACK,3086702046,2066620546,556,Nao
1779981768.154421,TCP,172.18.0.3,5001,172.18.0.4,56468,66,0,64,ACK,3086702046,2066624890,559,Nao
1779981768.252949,TCP,172.18.0.4,56468,172.18.0.3,5001,2962,2896,64,"PSH,ACK",2066624890,3086702046,502,Nao
1779981768.253053,TCP,172.18.0.3,5001,172.18.0.4,56468,66,0,64,ACK,3086702046,2066627786,605,Nao
1779981768.254448,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066629234,3086702046,502,Nao
1779981768.25445,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066630682,3086702046,502,Nao
1779981768.254483,TCP,172.18.0.3,5001,172.18.0.4,56468,78,0,64,ACK,3086702046,2066627786,621,Nao
1779981768.254493,TCP,172.18.0.3,5001,172.18.0.4,56468,78,0,64,ACK,3086702046,2066627786,621,Nao
1779981768.353166,TCP,172.18.0.4,56468,172.18.0.3,5001,2962,2896,64,"PSH,ACK",2066632130,3086702046,502,Nao
1779981768.353253,TCP,172.18.0.3,5001,172.18.0.4,56468,78,0,64,ACK,3086702046,2066627786,621,Nao
1779981768.354541,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066635026,3086702046,502,Nao
1779981768.354578,TCP,172.18.0.3,5001,172.18.0.4,56468,78,0,64,ACK,3086702046,2066627786,621,Nao
1779981768.386026,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066627786,3086702046,502,Nao
1779981768.386092,TCP,172.18.0.3,5001,172.18.0.4,56468,66,0,64,ACK,3086702046,2066636474,582,Nao
1779981768.454689,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066636474,3086702046,502,Nao
1779981768.454797,TCP,172.18.0.3,5001,172.18.0.4,56468,66,0,64,ACK,3086702046,2066637922,650,Nao
1779981768.486181,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066637922,3086702046,502,Nao
1779981768.486298,TCP,172.18.0.3,5001,172.18.0.4,56468,66,0,64,ACK,3086702046,2066639370,672,Nao
1779981768.554948,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066640818,3086702046,502,Nao
1779981768.55506,TCP,172.18.0.3,5001,172.18.0.4,56468,78,0,64,ACK,3086702046,2066639370,695,Nao
1779981768.586363,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066642266,3086702046,502,Nao
1779981768.586421,TCP,172.18.0.3,5001,172.18.0.4,56468,78,0,64,ACK,3086702046,2066639370,718,Nao
1779981768.655504,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066643714,3086702046,502,Nao
1779981768.655581,TCP,172.18.0.3,5001,172.18.0.4,56468,78,0,64,ACK,3086702046,2066639370,721,Nao
1779981768.686114,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066639370,3086702046,502,Nao
1779981768.686186,TCP,172.18.0.3,5001,172.18.0.4,56468,66,0,64,ACK,3086702046,2066645162,714,Nao
1779981768.994125,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066648058,3086702046,502,Nao
1779981768.994213,TCP,172.18.0.3,5001,172.18.0.4,56468,78,0,64,ACK,3086702046,2066645162,739,Nao
1779981769.094276,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066645162,3086702046,502,Nao
1779981769.09434,TCP,172.18.0.3,5001,172.18.0.4,56468,78,0,64,ACK,3086702046,2066646610,728,Nao
1779981769.194433,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066646610,3086702046,502,Nao
1779981769.194441,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066649506,3086702046,502,Nao
1779981769.194556,TCP,172.18.0.3,5001,172.18.0.4,56468,66,0,64,ACK,3086702046,2066649506,728,Nao
1779981769.194589,TCP,172.18.0.3,5001,172.18.0.4,56468,66,0,64,ACK,3086702046,2066650954,717,Nao
1779981769.294638,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066650954,3086702046,502,Nao
1779981769.294644,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066652402,3086702046,502,Nao
1779981769.294719,TCP,172.18.0.3,5001,172.18.0.4,56468,66,0,64,ACK,3086702046,2066652402,739,Nao
1779981769.29474,TCP,172.18.0.3,5001,172.18.0.4,56468,66,0,64,ACK,3086702046,2066653850,728,Nao
1779981769.394822,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066655298,3086702046,502,Nao
1779981769.39483,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066656746,3086702046,502,Nao
1779981769.394926,TCP,172.18.0.3,5001,172.18.0.4,56468,78,0,64,ACK,3086702046,2066653850,739,Nao
1779981769.394956,TCP,172.18.0.3,5001,172.18.0.4,56468,78,0,64,ACK,3086702046,2066653850,739,Nao
1779981769.495037,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066653850,3086702046,502,Nao
1779981769.495139,TCP,172.18.0.3,5001,172.18.0.4,56468,66,0,64,ACK,3086702046,2066658194,721,Nao
1779981769.595243,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066659642,3086702046,502,Nao
1779981769.595329,TCP,172.18.0.3,5001,172.18.0.4,56468,78,0,64,ACK,3086702046,2066658194,739,Nao
1779981770.030202,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066658194,3086702046,502,Nao
1779981770.030328,TCP,172.18.0.3,5001,172.18.0.4,56468,66,0,64,ACK,3086702046,2066661090,728,Nao
1779981770.130505,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066662538,3086702046,502,Nao
1779981770.130637,TCP,172.18.0.3,5001,172.18.0.4,56468,78,0,64,ACK,3086702046,2066661090,739,Nao
1779981770.230729,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066663986,3086702046,502,Nao
1779981770.230789,TCP,172.18.0.3,5001,172.18.0.4,56468,78,0,64,ACK,3086702046,2066661090,739,Nao
1779981770.262154,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066661090,3086702046,502,Nao
1779981770.262205,TCP,172.18.0.3,5001,172.18.0.4,56468,66,0,64,ACK,3086702046,2066665434,721,Nao
1779981770.330842,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066665434,3086702046,502,Nao
1779981770.330972,TCP,172.18.0.3,5001,172.18.0.4,56468,66,0,64,ACK,3086702046,2066666882,739,Nao
1779981770.362253,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066666882,3086702046,502,Nao
1779981770.362321,TCP,172.18.0.3,5001,172.18.0.4,56468,66,0,64,ACK,3086702046,2066668330,739,Nao
1779981770.431052,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066668330,3086702046,502,Nao
1779981770.431059,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066669778,3086702046,502,Nao
1779981770.431172,TCP,172.18.0.3,5001,172.18.0.4,56468,66,0,64,ACK,3086702046,2066669778,739,Nao
1779981770.431192,TCP,172.18.0.3,5001,172.18.0.4,56468,66,0,64,ACK,3086702046,2066671226,728,Nao
1779981770.462392,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066671226,3086702046,502,Nao
1779981770.46252,TCP,172.18.0.3,5001,172.18.0.4,56468,66,0,64,ACK,3086702046,2066672674,739,Nao
1779981770.531252,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066672674,3086702046,502,Nao
1779981770.531354,TCP,172.18.0.3,5001,172.18.0.4,56468,66,0,64,ACK,3086702046,2066674122,739,Nao
1779981770.562605,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066677018,3086702046,502,Nao
1779981770.562672,TCP,172.18.0.3,5001,172.18.0.4,56468,78,0,64,ACK,3086702046,2066674122,739,Nao
1779981770.63145,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066678466,3086702046,502,Nao
1779981770.631531,TCP,172.18.0.3,5001,172.18.0.4,56468,78,0,64,ACK,3086702046,2066674122,739,Nao
1779981770.662755,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066674122,3086702046,502,Nao
1779981770.662857,TCP,172.18.0.3,5001,172.18.0.4,56468,78,0,64,ACK,3086702046,2066675570,728,Nao
1779981770.731599,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066675570,3086702046,502,Nao
1779981770.731698,TCP,172.18.0.3,5001,172.18.0.4,56468,66,0,64,ACK,3086702046,2066679914,721,Nao
1779981770.76294,TCP,172.18.0.4,56468,172.18.0.3,5001,1514,1448,64,ACK,2066679914,3086702046,502,Nao
1779981770.763046,TCP,172.18.0.3,5001,172.18.0.4,56468,66,0,64,ACK,3086702046,2066681362,739,Nao
