timestamp,cwnd,ssthresh,fase
0,10,65535,SLOW_START
0.096638,11,65535,SLOW_START
0.096648,12,65535,SLOW_START
0.110885,9.0,6.0,FAST_RETX
0.210278,9.11,6.0,CONG_AVOID
0.451951,1,4.56,TIMEOUT
0.561186,2,4.56,SLOW_START
1.044532,1,2,TIMEOUT
1.142489,10,2,SLOW_START
1.236262,10.1,2,CONG_AVOID
1.241439,10.2,2,CONG_AVOID
1.241449,10.3,2,CONG_AVOID
1.247665,10.39,2,CONG_AVOID
1.247675,10.49,2,CONG_AVOID
1.247685,10.59,2,CONG_AVOID
1.253659,10.68,2,CONG_AVOID
1.253669,10.77,2,CONG_AVOID
1.253679,10.87,2,CONG_AVOID
1.334015,11.05,2,CONG_AVOID
1.359432,8.53,5.53,FAST_RETX
1.458012,9.82,5.53,CONG_AVOID
1.558083,10.02,5.53,CONG_AVOID
1.569858,10.12,5.53,CONG_AVOID
1.569868,10.22,5.53,CONG_AVOID
1.569878,10.32,5.53,CONG_AVOID
1.569888,10.41,5.53,CONG_AVOID
1.569898,10.51,5.53,CONG_AVOID
1.672266,8.25,5.25,FAST_RETX
1.872266,1,4.13,TIMEOUT
1.965474,10,4.13,SLOW_START
2.075234,8.0,5.0,FAST_RETX
2.174358,8.38,5.0,CONG_AVOID
2.574358,1,4.19,TIMEOUT
2.675409,9,4.19,SLOW_START
2.783098,9.11,4.19,CONG_AVOID
2.783108,9.22,4.19,CONG_AVOID
2.783118,9.33,4.19,CONG_AVOID
2.783128,9.44,4.19,CONG_AVOID
2.783138,9.54,4.19,CONG_AVOID
2.783168,7.77,4.77,FAST_RETX
2.888234,8.41,4.77,CONG_AVOID
2.893959,8.53,4.77,CONG_AVOID
2.893969,8.65,4.77,CONG_AVOID
2.895417,8.77,4.77,CONG_AVOID
2.895427,8.88,4.77,CONG_AVOID
2.969219,8.99,4.77,CONG_AVOID
2.980159,9.1,4.77,CONG_AVOID
2.985582,9.21,4.77,CONG_AVOID
2.987434,9.32,4.77,CONG_AVOID
3.004166,9.43,4.77,CONG_AVOID
3.004176,9.54,4.77,CONG_AVOID
3.076764,7.77,4.77,FAST_RETX
3.276764,1,3.88,TIMEOUT
3.376617,8,3.88,SLOW_START
3.482404,7.0,4.0,FAST_RETX
3.587486,7.29,4.0,CONG_AVOID
3.987486,1,3.64,TIMEOUT
4.094242,4,3.64,SLOW_START
4.894242,1,2,TIMEOUT
4.986481,2,2,SLOW_START
6.586481,1,2,TIMEOUT
6.685774,4,2,SLOW_START
6.787131,4.25,2,CONG_AVOID
6.787141,4.49,2,CONG_AVOID
6.790224,4.71,2,CONG_AVOID
6.792367,4.92,2,CONG_AVOID
6.874485,5.12,2,CONG_AVOID
6.969933,5.56,2.56,FAST_RETX
7.07935,6.46,2.56,CONG_AVOID
7.181916,6.77,2.56,CONG_AVOID
7.181926,6.92,2.56,CONG_AVOID
7.188283,7.06,2.56,CONG_AVOID
7.188293,7.2,2.56,CONG_AVOID
7.2749,7.48,2.56,CONG_AVOID
7.292959,7.62,2.56,CONG_AVOID
7.298132,6.81,3.81,FAST_RETX
7.401871,7.84,3.81,CONG_AVOID
7.503085,7.96,3.81,CONG_AVOID
7.509866,8.09,3.81,CONG_AVOID
7.515828,8.21,3.81,CONG_AVOID
7.515838,8.33,3.81,CONG_AVOID
7.515848,8.45,3.81,CONG_AVOID
7.516269,8.57,3.81,CONG_AVOID
7.614925,7.29,4.29,FAST_RETX
7.814925,1,3.64,TIMEOUT
7.909277,2,3.64,SLOW_START
8.309277,1,2,TIMEOUT
8.401337,8,2,SLOW_START
8.500952,8.25,2,CONG_AVOID
8.503934,8.37,2,CONG_AVOID
8.504614,8.61,2,CONG_AVOID
8.512188,8.73,2,CONG_AVOID
8.512198,8.84,2,CONG_AVOID
8.515596,8.95,2,CONG_AVOID
8.595893,9.07,2,CONG_AVOID
8.611024,7.53,4.53,FAST_RETX
8.712453,8.73,4.53,CONG_AVOID
8.835042,8.84,4.53,CONG_AVOID
8.835072,7.42,4.42,FAST_RETX
8.938651,7.69,4.42,CONG_AVOID
9.138651,1,3.85,TIMEOUT
9.242344,8,3.85,SLOW_START
9.331104,8.12,3.85,CONG_AVOID
9.345507,8.25,3.85,CONG_AVOID
9.345517,8.37,3.85,CONG_AVOID
9.345527,8.49,3.85,CONG_AVOID
9.349977,8.61,3.85,CONG_AVOID
9.349987,8.72,3.85,CONG_AVOID
9.349997,8.84,3.85,CONG_AVOID
9.455642,7.42,4.42,FAST_RETX
9.556204,8.5,4.42,CONG_AVOID
9.661159,8.97,4.42,CONG_AVOID
9.667713,9.08,4.42,CONG_AVOID
9.667723,9.19,4.42,CONG_AVOID
9.667733,9.3,4.42,CONG_AVOID
9.766392,9.51,4.42,CONG_AVOID
9.766402,9.62,4.42,CONG_AVOID
9.775561,9.83,4.42,CONG_AVOID
9.775571,9.93,4.42,CONG_AVOID
9.775591,10.13,4.42,CONG_AVOID
9.890037,8.06,5.06,FAST_RETX
9.997155,9.18,5.06,CONG_AVOID
10.092251,9.29,5.06,CONG_AVOID
10.092271,9.5,5.06,CONG_AVOID
10.100614,9.61,5.06,CONG_AVOID
10.10407,9.71,5.06,CONG_AVOID
10.192998,7.86,4.86,FAST_RETX
10.299143,7.98,4.86,CONG_AVOID
10.499143,1,3.99,TIMEOUT
10.608323,9,3.99,SLOW_START
10.700009,9.11,3.99,CONG_AVOID
10.719901,9.22,3.99,CONG_AVOID
10.719911,9.33,3.99,CONG_AVOID
10.720195,9.44,3.99,CONG_AVOID
10.720215,9.65,3.99,CONG_AVOID
10.720225,9.75,3.99,CONG_AVOID
10.720245,9.96,3.99,CONG_AVOID
10.800384,10.06,3.99,CONG_AVOID
10.824896,10.16,3.99,CONG_AVOID
10.824906,10.26,3.99,CONG_AVOID
10.827656,10.35,3.99,CONG_AVOID
10.834416,10.55,3.99,CONG_AVOID
10.834446,10.83,3.99,CONG_AVOID
10.917047,10.92,3.99,CONG_AVOID
10.917057,11.01,3.99,CONG_AVOID
10.923072,11.11,3.99,CONG_AVOID
10.928831,11.2,3.99,CONG_AVOID
10.930224,11.28,3.99,CONG_AVOID
10.930234,11.37,3.99,CONG_AVOID
10.945982,11.46,3.99,CONG_AVOID
10.946441,11.64,3.99,CONG_AVOID
10.946451,11.72,3.99,CONG_AVOID
11.009277,11.81,3.99,CONG_AVOID
11.013598,11.89,3.99,CONG_AVOID
11.032102,11.98,3.99,CONG_AVOID
11.036391,12.06,3.99,CONG_AVOID
11.044423,12.14,3.99,CONG_AVOID
11.044433,12.22,3.99,CONG_AVOID
11.044443,12.31,3.99,CONG_AVOID
11.048738,12.39,3.99,CONG_AVOID
11.1209,9.19,6.19,FAST_RETX
11.215223,9.3,6.19,CONG_AVOID
11.415223,1,4.65,TIMEOUT
11.518797,5,4.65,SLOW_START
11.918797,1,2.5,TIMEOUT
12.016275,8,2.5,SLOW_START
12.113736,8.12,2.5,CONG_AVOID
12.120351,8.25,2.5,CONG_AVOID
12.124804,8.37,2.5,CONG_AVOID
12.124814,8.49,2.5,CONG_AVOID
12.124824,8.61,2.5,CONG_AVOID
12.125477,8.72,2.5,CONG_AVOID
12.125497,8.95,2.5,CONG_AVOID
12.19741,9.06,2.5,CONG_AVOID
12.211286,9.17,2.5,CONG_AVOID
12.233297,9.39,2.5,CONG_AVOID
12.295332,7.7,4.7,FAST_RETX
12.405816,7.83,4.7,CONG_AVOID
12.605816,1,3.91,TIMEOUT
12.700488,5,3.91,SLOW_START
13.100488,1,2.5,TIMEOUT
13.208537,6,2.5,SLOW_START
13.312324,6.17,2.5,CONG_AVOID
13.312344,6.49,2.5,CONG_AVOID
13.316721,6.65,2.5,CONG_AVOID
13.318745,6.8,2.5,CONG_AVOID
13.323741,6.94,2.5,CONG_AVOID
13.40895,7.09,2.5,CONG_AVOID
13.417705,7.23,2.5,CONG_AVOID
13.417715,7.37,2.5,CONG_AVOID
13.423443,7.5,2.5,CONG_AVOID
13.423453,7.64,2.5,CONG_AVOID
13.51853,6.82,3.82,FAST_RETX
13.619783,7.11,3.82,CONG_AVOID
13.819783,1,3.56,TIMEOUT
13.928715,6,3.56,SLOW_START
14.328715,1,3.0,TIMEOUT
15.128715,1,2,TIMEOUT
15.225985,6,2,SLOW_START
15.326759,6.0,3.0,FAST_RETX
16.926759,1,3.0,TIMEOUT
20.126759,1,2,TIMEOUT
20.224364,4,2,SLOW_START
26.624364,1,2,TIMEOUT
26.719969,5,2,SLOW_START
26.814965,5.4,2,CONG_AVOID
26.823661,5.77,2,CONG_AVOID
26.826238,5.94,2,CONG_AVOID
26.912607,6.11,2,CONG_AVOID
26.912617,6.28,2,CONG_AVOID
27.011024,6.14,3.14,FAST_RETX
27.118418,7.12,3.14,CONG_AVOID
27.23135,6.56,3.56,FAST_RETX
27.334284,7.63,3.56,CONG_AVOID
27.436582,7.76,3.56,CONG_AVOID
27.439071,7.89,3.56,CONG_AVOID
27.440713,8.14,3.56,CONG_AVOID
27.442158,8.26,3.56,CONG_AVOID
27.44309,8.38,3.56,CONG_AVOID
27.4431,8.5,3.56,CONG_AVOID
27.529231,8.62,3.56,CONG_AVOID
27.547108,8.97,3.56,CONG_AVOID
27.547118,9.08,3.56,CONG_AVOID
27.551672,9.19,3.56,CONG_AVOID
27.551682,9.3,3.56,CONG_AVOID
27.551692,9.41,3.56,CONG_AVOID
27.636534,9.51,3.56,CONG_AVOID
27.637852,9.62,3.56,CONG_AVOID
27.650634,9.72,3.56,CONG_AVOID
27.651992,9.82,3.56,CONG_AVOID
27.668237,7.91,4.91,FAST_RETX
27.868237,1,3.96,TIMEOUT
27.967211,10,3.96,SLOW_START
28.060104,10.1,3.96,CONG_AVOID
28.076208,8.05,5.05,FAST_RETX
28.276208,1,4.03,TIMEOUT
28.378166,7,4.03,SLOW_START
28.490924,6.5,3.5,FAST_RETX
28.586488,6.81,3.5,CONG_AVOID
28.986488,1,3.4,TIMEOUT
29.087717,6,3.4,SLOW_START
29.195725,6.0,3.0,FAST_RETX
29.299399,7.0,3.0,CONG_AVOID
29.395203,7.14,3.0,CONG_AVOID
29.401948,7.28,3.0,CONG_AVOID
29.402406,7.42,3.0,CONG_AVOID
29.404327,7.69,3.0,CONG_AVOID
29.404337,7.82,3.0,CONG_AVOID
29.501375,6.91,3.91,FAST_RETX
29.582894,7.92,3.91,CONG_AVOID
29.687772,8.05,3.91,CONG_AVOID
29.692563,8.17,3.91,CONG_AVOID
29.693198,7.09,4.09,FAST_RETX
29.893198,1,3.54,TIMEOUT
30.007045,9,3.54,SLOW_START
30.122743,7.5,4.5,FAST_RETX
30.235033,8.3,4.5,CONG_AVOID
30.348468,7.15,4.15,FAST_RETX
30.445275,8.27,4.15,CONG_AVOID
30.555047,8.39,4.15,CONG_AVOID
30.555057,8.51,4.15,CONG_AVOID
30.555378,8.63,4.15,CONG_AVOID
30.555388,8.74,4.15,CONG_AVOID
30.555398,8.86,4.15,CONG_AVOID
30.555408,8.97,4.15,CONG_AVOID
30.555418,9.08,4.15,CONG_AVOID
30.555428,9.19,4.15,CONG_AVOID
30.668581,9.41,4.15,CONG_AVOID
30.668591,9.52,4.15,CONG_AVOID
30.670556,9.62,4.15,CONG_AVOID
30.670566,9.72,4.15,CONG_AVOID
30.670576,9.83,4.15,CONG_AVOID
30.670586,9.93,4.15,CONG_AVOID
30.670596,10.03,4.15,CONG_AVOID
30.773877,10.13,4.15,CONG_AVOID
30.773887,10.23,4.15,CONG_AVOID
30.773897,10.33,4.15,CONG_AVOID
30.773907,10.42,4.15,CONG_AVOID
30.776246,10.52,4.15,CONG_AVOID
30.776256,10.61,4.15,CONG_AVOID
30.776266,10.71,4.15,CONG_AVOID
30.776276,10.8,4.15,CONG_AVOID
30.865999,10.99,4.15,CONG_AVOID
30.882405,11.08,4.15,CONG_AVOID
30.890727,11.17,4.15,CONG_AVOID
30.890737,11.26,4.15,CONG_AVOID
30.890747,11.35,4.15,CONG_AVOID
30.890757,11.43,4.15,CONG_AVOID
30.890787,11.7,4.15,CONG_AVOID
30.964317,11.78,4.15,CONG_AVOID
30.969447,11.87,4.15,CONG_AVOID
30.97241,11.95,4.15,CONG_AVOID
30.985918,12.03,4.15,CONG_AVOID
31.000588,12.12,4.15,CONG_AVOID
31.000598,12.2,4.15,CONG_AVOID
31.006362,12.28,4.15,CONG_AVOID
31.006372,12.36,4.15,CONG_AVOID
31.061935,9.18,6.18,FAST_RETX
31.160215,10.05,6.18,CONG_AVOID
31.265467,8.03,5.03,FAST_RETX
31.371566,9.27,5.03,CONG_AVOID
31.485486,9.38,5.03,CONG_AVOID
31.486551,7.69,4.69,FAST_RETX
31.592086,8.21,4.69,CONG_AVOID
31.792086,1,4.11,TIMEOUT
31.886457,7,4.11,SLOW_START
31.997109,6.5,3.5,FAST_RETX
32.397109,1,3.25,TIMEOUT
32.496828,4,3.25,SLOW_START
33.296828,1,2,TIMEOUT
33.387809,5,2,SLOW_START
33.475905,5.2,2,CONG_AVOID
33.481759,5.39,2,CONG_AVOID
33.502543,5.58,2,CONG_AVOID
33.502553,5.76,2,CONG_AVOID
33.502563,5.93,2,CONG_AVOID
33.578595,6.1,2,CONG_AVOID
33.6044,6.43,2,CONG_AVOID
33.605559,6.58,2,CONG_AVOID
33.616482,6.73,2,CONG_AVOID
33.672532,6.88,2,CONG_AVOID
33.680205,7.03,2,CONG_AVOID
33.770236,6.51,3.51,FAST_RETX
33.866084,6.67,3.51,CONG_AVOID
34.066084,1,3.33,TIMEOUT
34.151104,7,3.33,SLOW_START
34.248116,7.14,3.33,CONG_AVOID
34.254259,7.28,3.33,CONG_AVOID
34.254269,7.42,3.33,CONG_AVOID
34.254279,7.55,3.33,CONG_AVOID
34.270262,7.95,3.33,CONG_AVOID
34.352117,8.08,3.33,CONG_AVOID
34.35761,8.33,3.33,CONG_AVOID
34.370229,8.45,3.33,CONG_AVOID
34.376331,8.56,3.33,CONG_AVOID
34.376341,8.68,3.33,CONG_AVOID
34.376351,8.8,3.33,CONG_AVOID
34.462893,8.91,3.33,CONG_AVOID
34.465724,9.02,3.33,CONG_AVOID
34.465754,9.35,3.33,CONG_AVOID
34.480776,9.46,3.33,CONG_AVOID
34.488434,9.57,3.33,CONG_AVOID
34.488444,9.67,3.33,CONG_AVOID
34.563193,9.77,3.33,CONG_AVOID
34.5702,9.88,3.33,CONG_AVOID
34.57021,9.98,3.33,CONG_AVOID
34.595159,10.08,3.33,CONG_AVOID
34.681587,8.04,5.04,FAST_RETX
34.771695,8.16,5.04,CONG_AVOID
34.971695,1,4.08,TIMEOUT
35.058235,8,4.08,SLOW_START
35.458235,1,4.0,TIMEOUT
35.555776,3,4.0,SLOW_START
36.355776,1,2,TIMEOUT
37.955776,1,2,TIMEOUT
38.056155,2,2,SLOW_START
41.256155,1,2,TIMEOUT
41.358233,5,2,SLOW_START
41.466307,5.5,2.5,FAST_RETX
41.565889,5.86,2.5,CONG_AVOID
47.965889,1,2.93,TIMEOUT
48.07546,6,2.93,SLOW_START
48.178329,6.17,2.93,CONG_AVOID
48.178339,6.33,2.93,CONG_AVOID
48.178349,6.49,2.93,CONG_AVOID
48.178359,6.64,2.93,CONG_AVOID
48.182428,6.79,2.93,CONG_AVOID
48.182438,6.94,2.93,CONG_AVOID
48.288585,6.47,3.47,FAST_RETX
48.381535,7.4,3.47,CONG_AVOID
48.481523,7.53,3.47,CONG_AVOID
48.489058,7.8,3.47,CONG_AVOID
48.496303,7.93,3.47,CONG_AVOID
48.496313,8.05,3.47,CONG_AVOID
48.592407,7.03,4.03,FAST_RETX
48.690636,7.31,4.03,CONG_AVOID
48.890636,1,3.66,TIMEOUT
48.994837,8,3.66,SLOW_START
49.099539,8.12,3.66,CONG_AVOID
49.100547,8.25,3.66,CONG_AVOID
49.103712,8.49,3.66,CONG_AVOID
49.106702,8.61,3.66,CONG_AVOID
49.107639,8.96,3.66,CONG_AVOID
49.203457,9.07,3.66,CONG_AVOID
49.203467,9.18,3.66,CONG_AVOID
49.204678,9.29,3.66,CONG_AVOID
49.21319,9.5,3.66,CONG_AVOID
49.2132,9.61,3.66,CONG_AVOID
49.213568,9.71,3.66,CONG_AVOID
49.213578,9.82,3.66,CONG_AVOID
49.294613,9.92,3.66,CONG_AVOID
49.31009,10.02,3.66,CONG_AVOID
49.31667,10.12,3.66,CONG_AVOID
49.31668,10.22,3.66,CONG_AVOID
49.31669,10.31,3.66,CONG_AVOID
49.3167,10.41,3.66,CONG_AVOID
49.31671,10.51,3.66,CONG_AVOID
49.31672,10.6,3.66,CONG_AVOID
49.318042,10.7,3.66,CONG_AVOID
49.398189,10.88,3.66,CONG_AVOID
49.40368,10.98,3.66,CONG_AVOID
49.423778,8.49,5.49,FAST_RETX
49.53425,8.84,5.49,CONG_AVOID
49.73425,1,4.42,TIMEOUT
49.835853,9,4.42,SLOW_START
49.94255,9.22,4.42,CONG_AVOID
49.94256,9.33,4.42,CONG_AVOID
49.952735,9.44,4.42,CONG_AVOID
49.956759,9.54,4.42,CONG_AVOID
49.956769,9.65,4.42,CONG_AVOID
49.956779,9.75,4.42,CONG_AVOID
49.956789,9.85,4.42,CONG_AVOID
49.956799,9.96,4.42,CONG_AVOID
50.051733,10.06,4.42,CONG_AVOID
50.051918,8.03,5.03,FAST_RETX
50.159958,8.9,5.03,CONG_AVOID
50.275035,7.45,4.45,FAST_RETX
50.475035,1,3.73,TIMEOUT
50.571127,9,3.73,SLOW_START
50.68951,7.5,4.5,FAST_RETX
50.790445,7.9,4.5,CONG_AVOID
51.190445,1,3.95,TIMEOUT
51.287866,8,3.95,SLOW_START
51.395928,7.0,4.0,FAST_RETX
51.500722,8.14,4.0,CONG_AVOID
51.605215,8.27,4.0,CONG_AVOID
51.608639,8.39,4.0,CONG_AVOID
51.608649,8.51,4.0,CONG_AVOID
51.614552,7.25,4.25,FAST_RETX
51.814552,1,3.63,TIMEOUT
51.908253,9,3.63,SLOW_START
52.011222,9.11,3.63,CONG_AVOID
52.018937,9.22,3.63,CONG_AVOID
52.018947,9.33,3.63,CONG_AVOID
52.018957,9.44,3.63,CONG_AVOID
52.018967,9.54,3.63,CONG_AVOID
52.025331,9.65,3.63,CONG_AVOID
52.025341,9.75,3.63,CONG_AVOID
52.025351,9.85,3.63,CONG_AVOID
52.025361,9.95,3.63,CONG_AVOID
52.123879,10.16,3.63,CONG_AVOID
52.123889,10.25,3.63,CONG_AVOID
52.136005,8.13,5.13,FAST_RETX
52.23613,9.11,5.13,CONG_AVOID
52.345796,7.56,4.56,FAST_RETX
52.445199,8.75,4.56,CONG_AVOID
52.55648,8.86,4.56,CONG_AVOID
52.556794,7.43,4.43,FAST_RETX
52.657037,7.97,4.43,CONG_AVOID
52.857037,1,3.98,TIMEOUT
52.956955,8,3.98,SLOW_START
53.058144,8.12,3.98,CONG_AVOID
53.06215,8.25,3.98,CONG_AVOID
53.06216,8.37,3.98,CONG_AVOID
53.06217,8.49,3.98,CONG_AVOID
53.075266,8.61,3.98,CONG_AVOID
53.075276,8.72,3.98,CONG_AVOID
53.075286,8.84,3.98,CONG_AVOID
53.075296,8.95,3.98,CONG_AVOID
53.1532,9.06,3.98,CONG_AVOID
53.188603,7.53,4.53,FAST_RETX
53.388603,1,3.77,TIMEOUT
53.489678,10,3.77,SLOW_START
53.579642,10.1,3.77,CONG_AVOID
53.58973,10.2,3.77,CONG_AVOID
