timestamp,cwnd,ssthresh,fase
0,10,65535,SLOW_START
0.202771,12,65535,SLOW_START
0.2175,9.0,6.0,FAST_RETX
0.825512,1,4.5,TIMEOUT
1.001012,6,4.5,SLOW_START
2.217038,1,3.0,TIMEOUT
2.43523,8,3.0,SLOW_START
2.657462,8.12,3.0,CONG_AVOID
2.657472,8.25,3.0,CONG_AVOID
2.657482,8.37,3.0,CONG_AVOID
2.668188,8.49,3.0,CONG_AVOID
2.873731,7.24,4.24,FAST_RETX
3.266521,1,3.62,TIMEOUT
3.51241,2,3.62,SLOW_START
4.297989,1,2,TIMEOUT
4.505677,2,2,SLOW_START
6.076834,1,2,TIMEOUT
9.219149,1,2,TIMEOUT
9.415049,4,2,SLOW_START
15.699678,1,2,TIMEOUT
15.908026,5,2,SLOW_START
16.122889,5.2,2,CONG_AVOID
16.122899,5.39,2,CONG_AVOID
16.441757,1,2.7,TIMEOUT
16.655622,3,2.7,SLOW_START
17.293338,1,2,TIMEOUT
18.568769,1,2,TIMEOUT
18.765295,2,2,SLOW_START
21.316159,1,2,TIMEOUT
26.417885,1,2,TIMEOUT
26.591571,2,2,SLOW_START
36.795023,1,2,TIMEOUT
57.201928,1,2,TIMEOUT
98.015739,1,2,TIMEOUT
98.213038,3,2,SLOW_START
158.213038,1,2,TIMEOUT
218.213038,1,2,TIMEOUT
218.423826,4,2,SLOW_START
218.62841,4.25,2,CONG_AVOID
218.640543,4.49,2,CONG_AVOID
218.640553,4.71,2,CONG_AVOID
218.910664,1,2.35,TIMEOUT
219.127737,5,2.35,SLOW_START
219.301029,5.2,2.35,CONG_AVOID
219.323149,5.39,2.35,CONG_AVOID
219.350686,5.76,2.35,CONG_AVOID
219.350696,5.94,2.35,CONG_AVOID
219.523592,6.11,2.35,CONG_AVOID
219.523602,6.27,2.35,CONG_AVOID
219.742241,6.13,3.13,FAST_RETX
220.011514,1,3.07,TIMEOUT
220.196916,4,3.07,SLOW_START
220.735462,1,2,TIMEOUT
220.923895,2,2,SLOW_START
222.000986,1,2,TIMEOUT
222.184672,3,2,SLOW_START
224.338855,1,2,TIMEOUT
228.647222,1,2,TIMEOUT
237.263954,1,2,TIMEOUT
237.46573,4,2,SLOW_START
237.68936,4.25,2,CONG_AVOID
237.710429,4.72,2,CONG_AVOID
237.710439,4.93,2,CONG_AVOID
237.891896,5.14,2,CONG_AVOID
237.892827,5.33,2,CONG_AVOID
238.116317,5.66,2.66,FAST_RETX
238.425112,1,2.83,TIMEOUT
239.042701,1,2,TIMEOUT
240.27788,1,2,TIMEOUT
242.748238,1,2,TIMEOUT
242.949146,6,2,SLOW_START
243.165051,6.17,2,CONG_AVOID
243.453114,1,3.08,TIMEOUT
243.653533,4,3.08,SLOW_START
244.22966,1,2,TIMEOUT
244.414776,3,2,SLOW_START
245.567029,1,2,TIMEOUT
245.733917,4,2,SLOW_START
245.951153,4.25,2,CONG_AVOID
245.951163,4.49,2,CONG_AVOID
245.951173,4.71,2,CONG_AVOID
245.956258,4.92,2,CONG_AVOID
246.143437,5.12,2,CONG_AVOID
246.173693,5.32,2,CONG_AVOID
246.173703,5.51,2,CONG_AVOID
246.173713,5.69,2,CONG_AVOID
246.356509,5.86,2,CONG_AVOID
246.356519,6.03,2,CONG_AVOID
246.370536,6.2,2,CONG_AVOID
246.570843,6.1,3.1,FAST_RETX
246.819036,1,3.05,TIMEOUT
247.315422,1,2,TIMEOUT
247.504858,3,2,SLOW_START
248.497629,1,2,TIMEOUT
250.48317,1,2,TIMEOUT
254.454254,1,2,TIMEOUT
254.640269,5,2,SLOW_START
254.856922,5.4,2,CONG_AVOID
255.076952,5.7,2.7,FAST_RETX
255.320786,1,2.85,TIMEOUT
255.808455,1,2,TIMEOUT
255.976788,3,2,SLOW_START
256.952125,1,2,TIMEOUT
257.152796,4,2,SLOW_START
257.361984,4.25,2,CONG_AVOID
257.601447,1,2.12,TIMEOUT
257.813445,2,2.12,SLOW_START
258.292372,1,2,TIMEOUT
258.489065,4,2,SLOW_START
258.672078,4.25,2,CONG_AVOID
258.930631,1,2.12,TIMEOUT
259.447736,1,2,TIMEOUT
260.481947,1,2,TIMEOUT
260.668952,4,2,SLOW_START
262.737373,1,2,TIMEOUT
262.92895,3,2,SLOW_START
267.065793,1,2,TIMEOUT
267.267117,4,2,SLOW_START
267.45407,4.25,2,CONG_AVOID
267.656047,5.12,2.12,FAST_RETX
267.824968,5.91,2.12,CONG_AVOID
268.039785,5.95,2.95,FAST_RETX
268.210449,6.79,2.95,CONG_AVOID
268.397499,6.94,2.95,CONG_AVOID
268.408509,6.47,3.47,FAST_RETX
268.675657,1,3.23,TIMEOUT
269.209953,1,2,TIMEOUT
269.400162,7,2,SLOW_START
269.587298,7.14,2,CONG_AVOID
269.587308,7.28,2,CONG_AVOID
269.629082,6.64,3.64,FAST_RETX
269.803456,7.7,3.64,CONG_AVOID
269.999729,7.83,3.64,CONG_AVOID
270.249693,1,3.91,TIMEOUT
270.444429,4,3.91,SLOW_START
270.944357,1,2,TIMEOUT
271.141528,5,2,SLOW_START
271.360892,5.2,2,CONG_AVOID
271.360912,5.58,2,CONG_AVOID
271.360922,5.76,2,CONG_AVOID
271.362919,5.94,2,CONG_AVOID
271.578111,6.44,2,CONG_AVOID
271.795649,6.22,3.22,FAST_RETX
271.999596,6.54,3.22,CONG_AVOID
272.263167,1,3.27,TIMEOUT
272.457903,7,3.27,SLOW_START
272.673739,7.29,3.27,CONG_AVOID
272.673749,7.42,3.27,CONG_AVOID
272.879592,6.71,3.71,FAST_RETX
273.097106,7.01,3.71,CONG_AVOID
