timestamp,cwnd,ssthresh,fase
0,10,65535,SLOW_START
0.272678,11,65535,SLOW_START
0.272708,8.5,5.5,FAST_RETX
1.090744,1,4.25,TIMEOUT
2.726814,1,2,TIMEOUT
2.976579,3,2,SLOW_START
6.248721,1,2,TIMEOUT
12.793003,1,2,TIMEOUT
25.881568,1,2,TIMEOUT
52.058698,1,2,TIMEOUT
104.412957,1,2,TIMEOUT
104.652913,2,2,SLOW_START
164.652913,1,2,TIMEOUT
164.921516,4,2,SLOW_START
224.921516,1,2,TIMEOUT
225.149525,2,2,SLOW_START
285.149525,1,2,TIMEOUT
285.388745,3,2,SLOW_START
345.388745,1,2,TIMEOUT
405.388745,1,2,TIMEOUT
465.388745,1,2,TIMEOUT
525.388745,1,2,TIMEOUT
525.628839,3,2,SLOW_START
585.628839,1,2,TIMEOUT
645.628839,1,2,TIMEOUT
705.628839,1,2,TIMEOUT
765.628839,1,2,TIMEOUT
825.628839,1,2,TIMEOUT
825.862268,4,2,SLOW_START
826.139175,4.5,2,CONG_AVOID
826.139185,4.72,2,CONG_AVOID
826.139195,4.93,2,CONG_AVOID
826.411302,5.14,2,CONG_AVOID
826.411312,5.33,2,CONG_AVOID
826.411322,5.52,2,CONG_AVOID
826.789065,1,2.76,TIMEOUT
827.544552,1,2,TIMEOUT
827.781777,4,2,SLOW_START
829.292752,1,2,TIMEOUT
829.519884,4,2,SLOW_START
829.779784,5,2,FAST_RETX
832.801734,1,2.5,TIMEOUT
833.071304,6,2.5,SLOW_START
839.115202,1,3.0,TIMEOUT
839.361476,4,3.0,SLOW_START
851.449272,1,2,TIMEOUT
851.69023,3,2,SLOW_START
875.865822,1,2,TIMEOUT
924.217007,1,2,TIMEOUT
984.217007,1,2,TIMEOUT
984.465455,2,2,SLOW_START
1044.465455,1,2,TIMEOUT
1104.465455,1,2,TIMEOUT
1104.721762,3,2,SLOW_START
1104.969077,3.33,2,CONG_AVOID
1104.995414,3.63,2,CONG_AVOID
1104.995424,3.91,2,CONG_AVOID
1105.229838,4.42,2,CONG_AVOID
1105.229848,4.65,2,CONG_AVOID
1105.587663,1,2.32,TIMEOUT
1106.303294,1,2,TIMEOUT
1107.734554,1,2,TIMEOUT
1108.003914,2,2,SLOW_START
1110.866435,1,2,TIMEOUT
1116.591479,1,2,TIMEOUT
1116.860296,2,2,SLOW_START
1128.310383,1,2,TIMEOUT
1151.210556,1,2,TIMEOUT
1197.010904,1,2,TIMEOUT
1197.238889,3,2,SLOW_START
1197.459245,3.33,2,CONG_AVOID
1197.461698,3.63,2,CONG_AVOID
1197.499661,3.91,2,CONG_AVOID
1197.708124,4.16,2,CONG_AVOID
1198.039259,1,2.08,TIMEOUT
1198.289046,3,2.08,SLOW_START
1198.951318,1,2,TIMEOUT
1199.204215,2,2,SLOW_START
1200.528757,1,2,TIMEOUT
1200.747222,3,2,SLOW_START
1200.996673,3.33,2,CONG_AVOID
1201.010472,3.63,2,CONG_AVOID
1201.023269,3.91,2,CONG_AVOID
1201.344673,1,2,TIMEOUT
1201.98748,1,2,TIMEOUT
1203.273095,1,2,TIMEOUT
1203.517279,2,2,SLOW_START
1206.088509,1,2,TIMEOUT
1211.230969,1,2,TIMEOUT
1211.503297,2,2,SLOW_START
1221.788217,1,2,TIMEOUT
1242.358057,1,2,TIMEOUT
1283.497737,1,2,TIMEOUT
1343.497737,1,2,TIMEOUT
1403.497737,1,2,TIMEOUT
1403.742998,3,2,SLOW_START
1404.00602,3.33,2,CONG_AVOID
1404.00603,3.63,2,CONG_AVOID
1404.00604,3.91,2,CONG_AVOID
1404.304348,1,2,TIMEOUT
1404.900965,1,2,TIMEOUT
1405.183148,2,2,SLOW_START
1406.376381,1,2,TIMEOUT
1408.762846,1,2,TIMEOUT
1413.535776,1,2,TIMEOUT
1413.803376,3,2,SLOW_START
1414.06722,3.33,2,CONG_AVOID
1414.06723,3.63,2,CONG_AVOID
1414.069272,3.91,2,CONG_AVOID
1414.322195,4.16,2,CONG_AVOID
1414.322205,4.4,2,CONG_AVOID
1414.606923,1,2.2,TIMEOUT
1414.844042,4,2.2,SLOW_START
1415.413478,1,2,TIMEOUT
1415.65753,3,2,SLOW_START
1416.7964,1,2,TIMEOUT
1417.037261,4,2,SLOW_START
1419.315002,1,2,TIMEOUT
1419.55305,4,2,SLOW_START
1424.108532,1,2,TIMEOUT
1424.335155,4,2,SLOW_START
1433.44612,1,2,TIMEOUT
1433.665971,4,2,SLOW_START
1451.887901,1,2,TIMEOUT
1488.331763,1,2,TIMEOUT
1488.594876,2,2,SLOW_START
1548.594876,1,2,TIMEOUT
1608.594876,1,2,TIMEOUT
1668.594876,1,2,TIMEOUT
1728.594876,1,2,TIMEOUT
1728.852575,4,2,SLOW_START
1729.128642,4.75,2,CONG_AVOID
1729.425623,1,2.38,TIMEOUT
1729.669962,2,2.38,SLOW_START
1730.263923,1,2,TIMEOUT
1731.451845,1,2,TIMEOUT
1733.82769,1,2,TIMEOUT
1734.072123,2,2,SLOW_START
1738.823812,1,2,TIMEOUT
1748.327191,1,2,TIMEOUT
1767.333948,1,2,TIMEOUT
1805.347463,1,2,TIMEOUT
1805.594726,3,2,SLOW_START
1805.831071,3.33,2,CONG_AVOID
1805.841662,3.63,2,CONG_AVOID
1805.841672,3.91,2,CONG_AVOID
1806.097533,4.16,2,CONG_AVOID
1806.097553,4.64,2,CONG_AVOID
1806.348999,4.86,2,CONG_AVOID
1806.349009,5.07,2,CONG_AVOID
1806.375981,5.46,2,CONG_AVOID
1806.573742,5.64,2,CONG_AVOID
1806.605965,5.82,2,CONG_AVOID
1806.836336,5.91,2.91,FAST_RETX
1807.143746,1,2.96,TIMEOUT
1807.758567,1,2,TIMEOUT
1807.984146,6,2,SLOW_START
1808.218082,6.17,2,CONG_AVOID
1808.229347,6.49,2,CONG_AVOID
1808.495089,6.25,3.25,FAST_RETX
1808.798257,1,3.12,TIMEOUT
1809.404595,1,2,TIMEOUT
1809.648885,2,2,SLOW_START
1810.86156,1,2,TIMEOUT
1811.112485,6,2,SLOW_START
1811.388312,6.17,2,CONG_AVOID
1811.400181,6.49,2,CONG_AVOID
1811.400191,6.65,2,CONG_AVOID
1811.400201,6.8,2,CONG_AVOID
1811.60625,7.09,2,CONG_AVOID
1811.661942,7.23,2,CONG_AVOID
1811.67809,7.51,2,CONG_AVOID
1811.6781,7.64,2,CONG_AVOID
1811.861568,7.77,2,CONG_AVOID
1811.882264,8.03,2,CONG_AVOID
1812.14622,7.01,4.01,FAST_RETX
1812.38128,7.16,4.01,CONG_AVOID
1812.710164,1,3.58,TIMEOUT
1812.950246,6,3.58,SLOW_START
1813.608013,1,3.0,TIMEOUT
1814.923547,1,2,TIMEOUT
1817.554616,1,2,TIMEOUT
1817.762121,7,2,SLOW_START
1818.033421,6.5,3.5,FAST_RETX
1818.269122,7.58,3.5,CONG_AVOID
1818.537443,7.71,3.5,CONG_AVOID
1818.545052,7.84,3.5,CONG_AVOID
1818.556946,7.97,3.5,CONG_AVOID
1818.556956,8.09,3.5,CONG_AVOID
1818.556976,8.34,3.5,CONG_AVOID
1818.832318,7.17,4.17,FAST_RETX
1819.168879,1,3.58,TIMEOUT
1819.402367,3,3.58,SLOW_START
1820.075489,1,2,TIMEOUT
1821.421732,1,2,TIMEOUT
1821.659418,6,2,SLOW_START
1824.351905,1,3.0,TIMEOUT
1829.736879,1,2,TIMEOUT
1840.506828,1,2,TIMEOUT
1862.046726,1,2,TIMEOUT
1905.126522,1,2,TIMEOUT
1905.385631,3,2,SLOW_START
1965.385631,1,2,TIMEOUT
1965.610806,2,2,SLOW_START
2025.610806,1,2,TIMEOUT
2085.610806,1,2,TIMEOUT
2085.860151,4,2,SLOW_START
2145.860151,1,2,TIMEOUT
2146.09929,3,2,SLOW_START
2206.09929,1,2,TIMEOUT
2206.358656,4,2,SLOW_START
2206.613323,4.5,2,CONG_AVOID
2206.616644,4.72,2,CONG_AVOID
2206.94867,1,2.36,TIMEOUT
2207.158132,3,2.36,SLOW_START
2207.822184,1,2,TIMEOUT
2209.150289,1,2,TIMEOUT
2209.414276,3,2,SLOW_START
2212.070486,1,2,TIMEOUT
2217.382904,1,2,TIMEOUT
2217.639044,4,2,SLOW_START
2217.900957,4.25,2,CONG_AVOID
2217.917942,4.49,2,CONG_AVOID
2217.917952,4.71,2,CONG_AVOID
2217.917962,4.92,2,CONG_AVOID
2218.169821,5.12,2,CONG_AVOID
2218.191652,5.32,2,CONG_AVOID
2218.191662,5.51,2,CONG_AVOID
2218.455988,5.87,2,CONG_AVOID
2218.46299,6.21,2,CONG_AVOID
2218.742856,6.11,3.11,FAST_RETX
2219.042609,1,3.05,TIMEOUT
2219.307063,7,3.05,SLOW_START
2219.593974,6.5,3.5,FAST_RETX
2220.19348,1,3.25,TIMEOUT
2221.392492,1,2,TIMEOUT
2223.790517,1,2,TIMEOUT
2228.586566,1,2,TIMEOUT
2238.178665,1,2,TIMEOUT
2238.441236,5,2,SLOW_START
2257.625434,1,2.5,TIMEOUT
2295.993829,1,2,TIMEOUT
2355.993829,1,2,TIMEOUT
2356.262523,6,2,SLOW_START
2356.524143,6.17,2,CONG_AVOID
2356.532978,6.33,2,CONG_AVOID
2356.532988,6.49,2,CONG_AVOID
2356.532998,6.64,2,CONG_AVOID
2356.821079,1,3.32,TIMEOUT
2357.079935,5,3.32,SLOW_START
2357.656097,1,2.5,TIMEOUT
2358.808422,1,2,TIMEOUT
2359.081318,2,2,SLOW_START
2361.385968,1,2,TIMEOUT
2361.635013,5,2,SLOW_START
2361.869248,5.2,2,CONG_AVOID
2361.885707,5.39,2,CONG_AVOID
2362.203834,1,2.7,TIMEOUT
2362.449105,4,2.7,SLOW_START
2363.085359,1,2,TIMEOUT
2363.362119,5,2,SLOW_START
2364.634628,1,2.5,TIMEOUT
2364.868701,3,2.5,SLOW_START
2367.413718,1,2,TIMEOUT
2367.678906,2,2,SLOW_START
2372.76894,1,2,TIMEOUT
2382.949007,1,2,TIMEOUT
2383.250473,3,2,SLOW_START
2383.519309,3.33,2,CONG_AVOID
2383.519319,3.63,2,CONG_AVOID
2383.523452,3.91,2,CONG_AVOID
2383.766509,4.16,2,CONG_AVOID
2383.997054,4.88,2,CONG_AVOID
2384.006342,5.09,2,CONG_AVOID
2384.243656,5.48,2,CONG_AVOID
2384.252962,5.66,2,CONG_AVOID
2384.557378,1,2.83,TIMEOUT
2385.166212,1,2,TIMEOUT
2386.383878,1,2,TIMEOUT
2388.819211,1,2,TIMEOUT
2389.077979,3,2,SLOW_START
2393.948645,1,2,TIMEOUT
2394.175971,4,2,SLOW_START
2394.418771,4.25,2,CONG_AVOID
2394.433706,4.72,2,CONG_AVOID
2394.689471,5.36,2.36,FAST_RETX
2394.95589,6.11,2.36,CONG_AVOID
2395.202989,6.43,2.36,CONG_AVOID
2395.205028,6.59,2.36,CONG_AVOID
2395.234288,6.74,2.36,CONG_AVOID
2395.48253,6.37,3.37,FAST_RETX
2395.755266,6.53,3.37,CONG_AVOID
2396.061473,1,3.26,TIMEOUT
2396.291917,3,3.26,SLOW_START
2396.904331,1,2,TIMEOUT
2398.129158,1,2,TIMEOUT
2400.578811,1,2,TIMEOUT
2405.478119,1,2,TIMEOUT
2415.276734,1,2,TIMEOUT
2434.873965,1,2,TIMEOUT
2474.068426,1,2,TIMEOUT
2474.325584,5,2,SLOW_START
2474.582901,5.2,2,CONG_AVOID
2474.582911,5.39,2,CONG_AVOID
2474.594903,5.58,2,CONG_AVOID
2474.601276,5.94,2,CONG_AVOID
2474.850614,5.97,2.97,FAST_RETX
2475.154118,1,2.98,TIMEOUT
2475.358108,4,2.98,SLOW_START
2475.965116,1,2,TIMEOUT
2477.179133,1,2,TIMEOUT
2477.452529,3,2,SLOW_START
2479.880562,1,2,TIMEOUT
2480.118629,4,2,SLOW_START
2480.370151,4.25,2,CONG_AVOID
2480.670497,1,2.12,TIMEOUT
2480.929661,2,2.12,SLOW_START
2481.530354,1,2,TIMEOUT
2481.799721,4,2,SLOW_START
2483.001106,1,2,TIMEOUT
2485.403878,1,2,TIMEOUT
2490.209422,1,2,TIMEOUT
2490.501163,5,2,SLOW_START
2490.778708,5.6,2,CONG_AVOID
2491.089204,1,2.8,TIMEOUT
2491.710197,1,2,TIMEOUT
2492.952183,1,2,TIMEOUT
2493.201799,3,2,SLOW_START
2495.68577,1,2,TIMEOUT
2495.957276,4,2,SLOW_START
2496.184067,4.25,2,CONG_AVOID
2496.210992,4.49,2,CONG_AVOID
2496.237335,4.71,2,CONG_AVOID
2496.247209,4.92,2,CONG_AVOID
2496.442846,5.12,2,CONG_AVOID
2496.475121,5.32,2,CONG_AVOID
2496.489256,5.51,2,CONG_AVOID
2496.491244,5.69,2,CONG_AVOID
2496.717233,5.86,2,CONG_AVOID
2496.717243,6.03,2,CONG_AVOID
2496.77392,6.37,2,CONG_AVOID
2497.102176,1,3.18,TIMEOUT
2497.758688,1,2,TIMEOUT
2498.017914,7,2,SLOW_START
2498.301419,6.5,3.5,FAST_RETX
2498.555083,6.81,3.5,CONG_AVOID
2499.868107,1,3.4,TIMEOUT
2502.494156,1,2,TIMEOUT
2502.724721,7,2,SLOW_START
2502.957479,7.14,2,CONG_AVOID
2502.96774,7.42,2,CONG_AVOID
2502.986714,7.56,2,CONG_AVOID
2502.986724,7.69,2,CONG_AVOID
2502.986734,7.82,2,CONG_AVOID
2502.987971,7.95,2,CONG_AVOID
2503.220337,8.07,2,CONG_AVOID
2503.220347,8.2,2,CONG_AVOID
2503.220357,8.32,2,CONG_AVOID
2503.258279,8.56,2,CONG_AVOID
2503.258289,8.68,2,CONG_AVOID
2503.480912,8.91,2,CONG_AVOID
2503.511493,7.45,4.45,FAST_RETX
2503.801316,1,3.73,TIMEOUT
2504.021625,9,3.73,SLOW_START
2504.270556,9.11,3.73,CONG_AVOID
2504.291459,9.22,3.73,CONG_AVOID
2504.291469,9.33,3.73,CONG_AVOID
2504.295132,7.66,4.66,FAST_RETX
2504.574475,7.8,4.66,CONG_AVOID
2504.871513,1,3.9,TIMEOUT
2505.465591,1,2,TIMEOUT
2505.707839,9,2,SLOW_START
2505.966782,7.5,4.5,FAST_RETX
2507.154937,1,3.75,TIMEOUT
2507.377653,3,3.75,SLOW_START
2509.753963,1,2,TIMEOUT
2514.506583,1,2,TIMEOUT
2514.721733,2,2,SLOW_START
2524.226973,1,2,TIMEOUT
2543.237453,1,2,TIMEOUT
2581.258412,1,2,TIMEOUT
2581.519406,4,2,SLOW_START
2641.519406,1,2,TIMEOUT
2641.746071,4,2,SLOW_START
2701.746071,1,2,TIMEOUT
2761.746071,1,2,TIMEOUT
2821.746071,1,2,TIMEOUT
2881.746071,1,2,TIMEOUT
2941.746071,1,2,TIMEOUT
2942.009566,5,2,SLOW_START
2942.275604,5.4,2,CONG_AVOID
2942.556667,5.7,2.7,FAST_RETX
2942.820643,6.23,2.7,CONG_AVOID
2943.113127,1,3.11,TIMEOUT
2943.698095,1,2,TIMEOUT
2943.930702,4,2,SLOW_START
2945.100638,1,2,TIMEOUT
2945.37122,2,2,SLOW_START
2947.711091,1,2,TIMEOUT
2947.954843,2,2,SLOW_START
2952.634585,1,2,TIMEOUT
2961.994069,1,2,TIMEOUT
2980.713037,1,2,TIMEOUT
3018.150973,1,2,TIMEOUT
3078.150973,1,2,TIMEOUT
3078.372284,3,2,SLOW_START
3138.372284,1,2,TIMEOUT
3198.372284,1,2,TIMEOUT
3258.372284,1,2,TIMEOUT
3258.616055,3,2,SLOW_START
3318.616055,1,2,TIMEOUT
3378.616055,1,2,TIMEOUT
3438.616055,1,2,TIMEOUT
3498.616055,1,2,TIMEOUT
3498.885797,4,2,SLOW_START
3499.142709,4.25,2,CONG_AVOID
3499.142719,4.49,2,CONG_AVOID
3499.142739,4.93,2,CONG_AVOID
3499.371082,5.13,2,CONG_AVOID
3499.409892,5.33,2,CONG_AVOID
3499.642646,5.66,2.66,FAST_RETX
3499.949041,1,2.83,TIMEOUT
3500.197129,2,2.83,SLOW_START
3500.809918,1,2,TIMEOUT
3501.039913,5,2,SLOW_START
3501.297589,5.4,2,CONG_AVOID
3501.546031,5.96,2,CONG_AVOID
3502.110262,1,2.98,TIMEOUT
3503.238723,1,2,TIMEOUT
3503.470787,3,2,SLOW_START
3505.727709,1,2,TIMEOUT
3510.241553,1,2,TIMEOUT
3510.456197,4,2,SLOW_START
3519.483885,1,2,TIMEOUT
3519.739308,2,2,SLOW_START
3537.794683,1,2,TIMEOUT
3573.905434,1,2,TIMEOUT
3633.905434,1,2,TIMEOUT
3693.905434,1,2,TIMEOUT
3694.169672,3,2,SLOW_START
3754.169672,1,2,TIMEOUT
3814.169672,1,2,TIMEOUT
3814.41352,4,2,SLOW_START
3814.630019,4.25,2,CONG_AVOID
3814.671017,4.49,2,CONG_AVOID
3814.671027,4.71,2,CONG_AVOID
3814.671037,4.92,2,CONG_AVOID
3814.856746,5.12,2,CONG_AVOID
3814.907768,5.32,2,CONG_AVOID
3815.326361,1,2.66,TIMEOUT
3816.163548,1,2,TIMEOUT
3816.406467,3,2,SLOW_START
3818.080839,1,2,TIMEOUT
3818.319734,4,2,SLOW_START
3818.608913,4.25,2,CONG_AVOID
3818.608923,4.49,2,CONG_AVOID
3818.84613,4.71,2,CONG_AVOID
3819.502003,1,2.35,TIMEOUT
3819.744685,5,2.35,SLOW_START
3819.997027,5.2,2.35,CONG_AVOID
