timestamp,protocolo,tipo_evento,seq_num,ack_num,tamanho_payload,tamanho_pacote,rtt_ms,perdido,retransmissao,timeout_disparado,cwnd,ssthresh,janela,flags
0,R-UDP,DATA,0,0,1024,1130,,Nao,Nao,Nao,,,10,DATA
0.0001,R-UDP,DATA,1,0,1024,1130,,Nao,Nao,Nao,,,10,DATA
0.0002,R-UDP,DATA,2,0,1024,1130,,Nao,Nao,Nao,,,10,DATA
0.0003,R-UDP,DATA,3,0,1024,1130,,Nao,Nao,Nao,,,10,DATA
0.0004,R-UDP,DATA,4,0,1024,1130,,Nao,Nao,Nao,,,10,DATA
0.0005,R-UDP,DATA,5,0,1024,1130,,Nao,Nao,Nao,,,10,DATA
0.0006,R-UDP,DATA,6,0,1024,1130,,Nao,Nao,Nao,,,10,DATA
0.0007,R-UDP,DATA,7,0,1024,1130,,Nao,Nao,Nao,,,10,DATA
0.0008,R-UDP,DATA,8,0,1024,1130,,Nao,Nao,Nao,,,10,DATA
0.0009,R-UDP,DATA,9,0,1024,1130,,Nao,Nao,Nao,,,10,DATA
0.01877,R-UDP,ACK,0,0,0,106,18.7703,Nao,Nao,Nao,,,10,ACK
0.01877,R-UDP,DATA,10,0,1024,1130,,Nao,Nao,Nao,,,10,DATA
0.019321,R-UDP,ACK,0,1,0,106,19.2212,Nao,Nao,Nao,,,10,ACK
0.019321,R-UDP,DATA,11,0,1024,1130,,Nao,Nao,Nao,,,10,DATA
0.020589,R-UDP,ACK,0,2,0,106,20.3886,Nao,Nao,Nao,,,10,ACK
0.020589,R-UDP,DATA,12,0,1024,1130,,Nao,Nao,Nao,,,10,DATA
0.021665,R-UDP,ACK,0,3,0,106,21.3653,Nao,Nao,Nao,,,10,ACK
0.021665,R-UDP,DATA,13,0,1024,1130,,Nao,Nao,Nao,,,10,DATA
0.022128,R-UDP,ACK,0,4,0,106,21.7282,Nao,Nao,Nao,,,10,ACK
0.022128,R-UDP,DATA,14,0,1024,1130,,Nao,Nao,Nao,,,10,DATA
0.022138,R-UDP,ACK,0,5,0,106,21.6382,Nao,Nao,Nao,,,10,ACK
0.022148,R-UDP,ACK,0,6,0,106,21.5482,Nao,Nao,Nao,,,10,ACK
0.022158,R-UDP,ACK,0,7,0,106,21.4582,Nao,Nao,Nao,,,10,ACK
