timestamp,protocolo,tipo_evento,seq_num,ack_num,tamanho_payload,tamanho_pacote,rtt_ms,perdido,retransmissao,timeout_disparado,cwnd,ssthresh,janela,flags
0,TCP,DATA,0,0,1024,1078,,Nao,Nao,Nao,10,65535,,"PSH,ACK"
0.0001,TCP,DATA,1,0,1024,1078,,Nao,Nao,Nao,10,65535,,"PSH,ACK"
0.0002,TCP,DATA,2,0,1024,1078,,Nao,Nao,Nao,10,65535,,"PSH,ACK"
0.0003,TCP,DATA,3,0,1024,1078,,Nao,Nao,Nao,10,65535,,"PSH,ACK"
0.0004,TCP,DATA,4,0,1024,1078,,Nao,Nao,Nao,10,65535,,"PSH,ACK"
0.0005,TCP,DATA,5,0,1024,1078,,Nao,Nao,Nao,10,65535,,"PSH,ACK"
0.0006,TCP,DATA,6,0,1024,1078,,Nao,Nao,Nao,10,65535,,"PSH,ACK"
0.0007,TCP,DATA,7,0,1024,1078,,Nao,Nao,Nao,10,65535,,"PSH,ACK"
0.0008,TCP,DATA,8,0,1024,1078,,Nao,Nao,Nao,10,65535,,"PSH,ACK"
0.0009,TCP,DATA,9,0,1024,1078,,Nao,Nao,Nao,10,65535,,"PSH,ACK"
0.018762,TCP,ACK,0,0,0,54,18.762,Nao,Nao,Nao,10,65535,,ACK
0.018762,TCP,DATA,10,0,1024,1078,,Nao,Nao,Nao,11,65535,,"PSH,ACK"
0.018862,TCP,DATA,11,0,1024,1078,,Nao,Nao,Nao,11,65535,,"PSH,ACK"
0.019313,TCP,ACK,0,1,0,54,19.2129,Nao,Nao,Nao,11,65535,,ACK
0.019313,TCP,DATA,12,0,1024,1078,,Nao,Nao,Nao,12,65535,,"PSH,ACK"
0.019413,TCP,DATA,13,0,1024,1078,,Nao,Nao,Nao,12,65535,,"PSH,ACK"
0.02058,TCP,ACK,0,2,0,54,20.3803,Nao,Nao,Nao,12,65535,,ACK
0.02058,TCP,DATA,14,0,1024,1078,,Nao,Nao,Nao,13,65535,,"PSH,ACK"
0.02068,TCP,DATA,15,0,1024,1078,,Nao,Nao,Nao,13,65535,,"PSH,ACK"
0.021657,TCP,ACK,0,3,0,54,21.357,Nao,Nao,Nao,13,65535,,ACK
0.021657,TCP,DATA,16,0,1024,1078,,Nao,Nao,Nao,14,65535,,"PSH,ACK"
0.021757,TCP,DATA,17,0,1024,1078,,Nao,Nao,Nao,14,65535,,"PSH,ACK"
0.02212,TCP,ACK,0,4,0,54,21.7199,Nao,Nao,Nao,14,65535,,ACK
0.02212,TCP,DATA,18,0,1024,1078,,Nao,Nao,Nao,15,65535,,"PSH,ACK"
0.02213,TCP,ACK,0,5,0,54,21.6299,Nao,Nao,Nao,15,65535,,ACK
0.02214,TCP,ACK,0,6,0,54,21.5399,Nao,Nao,Nao,16,65535,,ACK
0.02215,TCP,ACK,0,7,0,54,21.4499,Nao,Nao,Nao,17,65535,,ACK
0.02216,TCP,ACK,0,8,0,54,21.3599,Nao,Nao,Nao,18,65535,,ACK
0.02222,TCP,DATA,19,0,1024,1078,,Nao,Nao,Nao,19,65535,,"PSH,ACK"
0.02232,TCP,DATA,20,0,1024,1078,,Nao,Nao,Nao,19,65535,,"PSH,ACK"
0.022382,TCP,ACK,0,9,0,54,21.4822,Nao,Nao,Nao,19,65535,,ACK
0.02242,TCP,DATA,21,0,1024,1078,,Nao,Nao,Nao,20,65535,,"PSH,ACK"
0.02252,TCP,DATA,22,0,1024,1078,,Nao,Nao,Nao,20,65535,,"PSH,ACK"
0.02262,TCP,DATA,23,0,1024,1078,,Nao,Nao,Nao,20,65535,,"PSH,ACK"
0.02272,TCP,DATA,24,0,1024,1078,,Nao,Nao,Nao,20,65535,,"PSH,ACK"
0.037182,TCP,ACK,0,10,0,54,18.4201,Nao,Nao,Nao,20,65535,,ACK
0.037182,TCP,DATA,25,0,1024,1078,,Nao,Nao,Nao,21,65535,,"PSH,ACK"
0.037282,TCP,DATA,26,0,1024,1078,,Nao,Nao,Nao,21,65535,,"PSH,ACK"
0.037382,TCP,DATA,27,0,1024,1078,,Nao,Nao,Nao,21,65535,,"PSH,ACK"
0.037482,TCP,DATA,28,0,1024,1078,,Nao,Nao,Nao,21,65535,,"PSH,ACK"
0.037582,TCP,DATA,29,0,1024,1078,,Nao,Nao,Nao,21,65535,,"PSH,ACK"
0.037682,TCP,DATA,30,0,1024,1078,,Nao,Nao,Nao,21,65535,,"PSH,ACK"
0.037782,TCP,DATA,31,0,1024,1078,,Nao,Nao,Nao,21,65535,,"PSH,ACK"
