timestamp,protocolo,tipo_evento,seq_num,ack_num,tamanho_payload,tamanho_pacote,rtt_ms,perdido,retransmissao,timeout_disparado,cwnd,ssthresh,janela,flags
0,R-UDP,DATA,0,0,1024,1130,,Nao,Nao,Nao,,,10,DATA
0.0001,R-UDP,DATA,1,0,1024,1130,,Nao,Nao,Nao,,,10,DATA
0.0002,R-UDP,DATA,2,0,1024,1130,,Nao,Nao,Nao,,,10,DATA
0.0003,R-UDP,DATA,3,0,1024,1130,,Nao,Nao,Nao,,,10,DATA
0.0004,R-UDP,DATA,4,0,1024,1130,,Nao,Nao,Nao,,,10,DATA
0.0005,R-UDP,DATA,5,0,1024,1130,,Nao,Nao,Nao,,,10,DATA
0.0006,R-UDP,DATA,6,0,1024,1130,,Nao,Nao,Nao,,,10,DATA
0.0007,R-UDP,DATA,7,0,1024,1130,,Nao,Nao,Nao,,,10,DATA
0.0008,R-UDP,DATA,8,0,1024,1130,,Nao,Nao,Nao,,,10,DATA
0.0009,R-UDP,DATA,9,0,1024,1130,,Nao,Nao,Nao,,,10,DATA
0.046951,R-UDP,LOSS,2,0,1024,1130,,Sim,Nao,Nao,,,10,DATA
0.057285,R-UDP,LOSS,3,0,1024,1130,,Sim,Nao,Nao,,,10,DATA
0.057295,R-UDP,LOSS,4,0,1024,1130,,Sim,Nao,Nao,,,10,DATA
0.096646,R-UDP,ACK,0,0,0,106,96.646,Nao,Nao,Nao,,,10,ACK
0.096646,R-UDP,DATA,10,0,1024,1130,,Nao,Nao,Nao,,,10,DATA
0.096656,R-UDP,ACK,0,1,0,106,96.556,Nao,Nao,Nao,,,10,ACK
0.096746,R-UDP,DATA,11,0,1024,1130,,Nao,Nao,Nao,,,10,DATA
0.109176,R-UDP,DUPACK,0,1,0,106,,Nao,Nao,Nao,,,10,ACK
0.109186,R-UDP,DUPACK,0,1,0,106,,Nao,Nao,Nao,,,10,ACK
0.110893,R-UDP,DUPACK,0,1,0,106,,Nao,Nao,Nao,,,10,ACK
0.110903,R-UDP,DUPACK,0,1,0,106,,Nao,Nao,Nao,,,10,ACK
0.110913,R-UDP,DUPACK,0,1,0,106,,Nao,Nao,Nao,,,10,ACK
0.175409,R-UDP,DUPACK,0,1,0,106,,Nao,Nao,Nao,,,10,ACK
