timestamp,protocolo,tipo_evento,seq_num,ack_num,tamanho_payload,tamanho_pacote,rtt_ms,perdido,retransmissao,timeout_disparado,cwnd,ssthresh,janela,flags
0,TCP,DATA,0,0,1024,1078,,Nao,Nao,Nao,10,65535,,"PSH,ACK"
0.0001,TCP,DATA,1,0,1024,1078,,Nao,Nao,Nao,10,65535,,"PSH,ACK"
0.0002,TCP,DATA,2,0,1024,1078,,Nao,Nao,Nao,10,65535,,"PSH,ACK"
0.0003,TCP,DATA,3,0,1024,1078,,Nao,Nao,Nao,10,65535,,"PSH,ACK"
0.0004,TCP,DATA,4,0,1024,1078,,Nao,Nao,Nao,10,65535,,"PSH,ACK"
0.0005,TCP,DATA,5,0,1024,1078,,Nao,Nao,Nao,10,65535,,"PSH,ACK"
0.0006,TCP,DATA,6,0,1024,1078,,Nao,Nao,Nao,10,65535,,"PSH,ACK"
0.0007,TCP,DATA,7,0,1024,1078,,Nao,Nao,Nao,10,65535,,"PSH,ACK"
0.0008,TCP,DATA,8,0,1024,1078,,Nao,Nao,Nao,10,65535,,"PSH,ACK"
0.0009,TCP,DATA,9,0,1024,1078,,Nao,Nao,Nao,10,65535,,"PSH,ACK"
0.046947,TCP,LOSS,2,0,1024,1078,,Sim,Nao,Nao,10,65535,,DATA
0.057281,TCP,LOSS,3,0,1024,1078,,Sim,Nao,Nao,10,65535,,DATA
0.057291,TCP,LOSS,4,0,1024,1078,,Sim,Nao,Nao,10,65535,,DATA
0.096638,TCP,ACK,0,0,0,54,96.6377,Nao,Nao,Nao,10,65535,,ACK
0.096638,TCP,DATA,10,0,1024,1078,,Nao,Nao,Nao,11,65535,,"PSH,ACK"
0.096648,TCP,ACK,0,1,0,54,96.5477,Nao,Nao,Nao,11,65535,,ACK
0.096738,TCP,DATA,11,0,1024,1078,,Nao,Nao,Nao,12,65535,,"PSH,ACK"
0.096838,TCP,DATA,12,0,1024,1078,,Nao,Nao,Nao,12,65535,,"PSH,ACK"
0.109167,TCP,DUPACK,0,1,0,54,,Nao,Nao,Nao,12,65535,,ACK
0.109177,TCP,DUPACK,0,1,0,54,,Nao,Nao,Nao,12,65535,,ACK
0.110885,TCP,DUPACK,0,1,0,54,,Nao,Nao,Nao,12,65535,,ACK
0.110885,TCP,FAST_RETX,2,0,1024,1078,,Nao,Sim,Nao,9.0,6.0,,"PSH,ACK"
0.110895,TCP,DUPACK,0,1,0,54,,Nao,Nao,Nao,9.0,6.0,,ACK
0.110905,TCP,DUPACK,0,1,0,54,,Nao,Nao,Nao,9.0,6.0,,ACK
0.177972,TCP,DUPACK,0,1,0,54,,Nao,Nao,Nao,9.0,6.0,,ACK
0.188121,TCP,DUPACK,0,1,0,54,,Nao,Nao,Nao,9.0,6.0,,ACK
0.192082,TCP,DUPACK,0,1,0,54,,Nao,Nao,Nao,9.0,6.0,,ACK
0.210278,TCP,ACK,0,2,0,54,,Nao,Nao,Nao,9.0,6.0,,ACK
0.451951,TCP,TIMEOUT,3,0,0,0,,Nao,Nao,Sim,9.11,6.0,,TIMEOUT
0.451951,TCP,RETX,3,0,1024,1078,,Nao,Sim,Nao,1,4.56,,"PSH,ACK"
0.561186,TCP,ACK,0,3,0,54,,Nao,Nao,Nao,1,4.56,,ACK
1.044532,TCP,TIMEOUT,4,0,0,0,,Nao,Nao,Sim,2,4.56,,TIMEOUT
1.044532,TCP,RETX,4,0,1024,1078,,Nao,Sim,Nao,1,2,,"PSH,ACK"
1.142489,TCP,ACK,0,12,0,54,,Nao,Nao,Nao,1,2,,ACK
1.142489,TCP,DATA,13,0,1024,1078,,Nao,Nao,Nao,10,2,,"PSH,ACK"
1.142589,TCP,DATA,14,0,1024,1078,,Nao,Nao,Nao,10,2,,"PSH,ACK"
1.142689,TCP,DATA,15,0,1024,1078,,Nao,Nao,Nao,10,2,,"PSH,ACK"
1.142789,TCP,DATA,16,0,1024,1078,,Nao,Nao,Nao,10,2,,"PSH,ACK"
1.142889,TCP,DATA,17,0,1024,1078,,Nao,Nao,Nao,10,2,,"PSH,ACK"
1.142989,TCP,DATA,18,0,1024,1078,,Nao,Nao,Nao,10,2,,"PSH,ACK"
1.143089,TCP,DATA,19,0,1024,1078,,Nao,Nao,Nao,10,2,,"PSH,ACK"
1.143189,TCP,DATA,20,0,1024,1078,,Nao,Nao,Nao,10,2,,"PSH,ACK"
1.143289,TCP,DATA,21,0,1024,1078,,Nao,Nao,Nao,10,2,,"PSH,ACK"
1.143389,TCP,DATA,22,0,1024,1078,,Nao,Nao,Nao,10,2,,"PSH,ACK"
