timestamp,protocolo,tipo_evento,seq_num,ack_num,tamanho_payload,tamanho_pacote,rtt_ms,perdido,retransmissao,timeout_disparado,cwnd,ssthresh,janela,flags
0,TCP,DATA,0,0,1024,1078,,Nao,Nao,Nao,10,65535,,"PSH,ACK"
0.0001,TCP,DATA,1,0,1024,1078,,Nao,Nao,Nao,10,65535,,"PSH,ACK"
0.0002,TCP,DATA,2,0,1024,1078,,Nao,Nao,Nao,10,65535,,"PSH,ACK"
0.0003,TCP,DATA,3,0,1024,1078,,Nao,Nao,Nao,10,65535,,"PSH,ACK"
0.0004,TCP,DATA,4,0,1024,1078,,Nao,Nao,Nao,10,65535,,"PSH,ACK"
0.0005,TCP,DATA,5,0,1024,1078,,Nao,Nao,Nao,10,65535,,"PSH,ACK"
0.0006,TCP,DATA,6,0,1024,1078,,Nao,Nao,Nao,10,65535,,"PSH,ACK"
0.0007,TCP,DATA,7,0,1024,1078,,Nao,Nao,Nao,10,65535,,"PSH,ACK"
0.0008,TCP,DATA,8,0,1024,1078,,Nao,Nao,Nao,10,65535,,"PSH,ACK"
0.0009,TCP,DATA,9,0,1024,1078,,Nao,Nao,Nao,10,65535,,"PSH,ACK"
0.108712,TCP,LOSS,2,0,1024,1078,,Sim,Nao,Nao,10,65535,,DATA
0.110416,TCP,LOSS,7,0,1024,1078,,Sim,Nao,Nao,10,65535,,DATA
0.202761,TCP,LOSS,0,0,0,54,,Sim,Nao,Nao,10,65535,,ACK
0.202771,TCP,ACK,0,1,0,54,202.6709,Nao,Nao,Nao,10,65535,,ACK
0.202771,TCP,DATA,10,0,1024,1078,,Nao,Nao,Nao,12,65535,,"PSH,ACK"
0.202871,TCP,DATA,11,0,1024,1078,,Nao,Nao,Nao,12,65535,,"PSH,ACK"
0.202971,TCP,DATA,12,0,1024,1078,,Nao,Nao,Nao,12,65535,,"PSH,ACK"
0.203071,TCP,DATA,13,0,1024,1078,,Nao,Nao,Nao,12,65535,,"PSH,ACK"
0.21748,TCP,DUPACK,0,1,0,54,,Nao,Nao,Nao,12,65535,,ACK
0.21749,TCP,DUPACK,0,1,0,54,,Nao,Nao,Nao,12,65535,,ACK
0.2175,TCP,DUPACK,0,1,0,54,,Nao,Nao,Nao,12,65535,,ACK
0.2175,TCP,FAST_RETX,2,0,1024,1078,,Nao,Sim,Nao,9.0,6.0,,"PSH,ACK"
0.21751,TCP,LOSS,0,1,0,54,,Sim,Nao,Nao,9.0,6.0,,ACK
0.239164,TCP,DUPACK,0,1,0,54,,Nao,Nao,Nao,9.0,6.0,,ACK
0.239174,TCP,LOSS,0,1,0,54,,Sim,Nao,Nao,9.0,6.0,,ACK
0.399614,TCP,DUPACK,0,1,0,54,,Nao,Nao,Nao,9.0,6.0,,ACK
0.400197,TCP,LOSS,0,1,0,54,,Sim,Nao,Nao,9.0,6.0,,ACK
0.403267,TCP,LOSS,0,1,0,54,,Sim,Nao,Nao,9.0,6.0,,ACK
0.436297,TCP,LOSS,0,1,0,54,,Sim,Nao,Nao,9.0,6.0,,ACK
0.436307,TCP,LOSS,0,6,0,54,,Sim,Nao,Nao,9.0,6.0,,ACK
0.825512,TCP,TIMEOUT,2,0,0,0,,Nao,Nao,Sim,9.0,6.0,,TIMEOUT
0.825512,TCP,RETX,2,0,1024,1078,,Nao,Sim,Nao,1,4.5,,"PSH,ACK"
1.001012,TCP,ACK,0,6,0,54,,Nao,Nao,Nao,1,4.5,,ACK
2.217038,TCP,TIMEOUT,7,0,0,0,,Nao,Nao,Sim,6,4.5,,TIMEOUT
2.217038,TCP,RETX,7,0,1024,1078,,Nao,Sim,Nao,1,3.0,,"PSH,ACK"
2.43523,TCP,ACK,0,13,0,54,,Nao,Nao,Nao,1,3.0,,ACK
2.43523,TCP,DATA,14,0,1024,1078,,Nao,Nao,Nao,8,3.0,,"PSH,ACK"
2.43533,TCP,DATA,15,0,1024,1078,,Nao,Nao,Nao,8,3.0,,"PSH,ACK"
2.43543,TCP,DATA,16,0,1024,1078,,Nao,Nao,Nao,8,3.0,,"PSH,ACK"
2.43553,TCP,DATA,17,0,1024,1078,,Nao,Nao,Nao,8,3.0,,"PSH,ACK"
2.43563,TCP,DATA,18,0,1024,1078,,Nao,Nao,Nao,8,3.0,,"PSH,ACK"
2.43573,TCP,DATA,19,0,1024,1078,,Nao,Nao,Nao,8,3.0,,"PSH,ACK"
2.43583,TCP,DATA,20,0,1024,1078,,Nao,Nao,Nao,8,3.0,,"PSH,ACK"
2.43593,TCP,DATA,21,0,1024,1078,,Nao,Nao,Nao,8,3.0,,"PSH,ACK"
