protocolo,tempo_total_s,vazao_mbps,total_pacotes_dados_enviados,total_pacotes_uteis,total_retransmissoes,total_acks_enviados,total_acks_recebidos,total_dup_acks,total_timeouts,pacotes_perdidos_dados,pacotes_perdidos_ack,taxa_perda_observada,eficiencia_dados_controle,bytes_dados_uteis,bytes_confirmados_ack,bytes_total_na_rede,overhead_pct,rtt_medio_ms,rtt_desvio_ms,rtt_min_ms,rtt_max_ms,rtt_mediana_ms,rtt_p95_ms,rtt_p99_ms,jitter_medio_ms,jitter_desvio_ms,jitter_max_ms,fast_retransmits,timeout_retransmits,slow_start_exits,rto_final_s,cwnd_final,ssthresh_final,cenario,delay_ms,taxa_perda_config,execucao_id,seed,janela_fixa
TCP,1.32181,60.5231,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11038720,5.27,22.7649,0.7265,18.3188,25.5433,22.73,24.0237,24.5406,0.1625,0.277,4.8078,0,0,0,0.2,10250,65535,A,10,0.0,1,1781,
TCP,1.325049,60.3751,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11038720,5.27,22.7826,0.7187,18.6356,25.5476,22.7418,24.0268,24.6587,0.1618,0.2764,4.0936,0,0,0,0.2,10250,65535,A,10,0.0,2,1782,
TCP,1.329381,60.1784,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11038720,5.27,22.8189,0.77,17.6716,26.14,22.7603,24.1794,24.7987,0.161,0.2771,6.5941,0,0,0,0.2,10250,65535,A,10,0.0,3,1783,
TCP,1.329887,60.1555,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11038720,5.27,22.7979,0.7631,17.5448,26.2473,22.7552,24.1351,24.7876,0.1598,0.268,3.5048,0,0,0,0.2,10250,65535,A,10,0.0,4,1784,
TCP,1.326712,60.2994,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11038720,5.27,22.7999,0.7559,18.574,26.6211,22.7376,24.1034,24.7998,0.1622,0.2806,4.8693,0,0,0,0.2,10250,65535,A,10,0.0,5,1785,
TCP,1.325351,60.3614,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11038720,5.27,22.7548,0.7462,17.9409,26.6785,22.6988,24.0545,24.7964,0.1623,0.2807,4.9931,0,0,0,0.2,10250,65535,A,10,0.0,6,1786,
TCP,1.333158,60.0079,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11038720,5.27,22.7982,0.7449,19.2323,25.5493,22.7403,24.1169,24.6875,0.1601,0.2737,4.2384,0,0,0,0.2,10250,65535,A,10,0.0,7,1787,
TCP,1.337784,59.8004,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11038720,5.27,22.7592,0.7494,19.8626,26.3214,22.7002,24.1024,24.7918,0.1598,0.2708,3.8917,0,0,0,0.2,10250,65535,A,10,0.0,8,1788,
TCP,1.325656,60.3475,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11038720,5.27,22.7492,0.7249,17.6085,25.8986,22.7026,24.0098,24.6075,0.1603,0.2744,3.9435,0,0,0,0.2,10250,65535,A,10,0.0,9,1789,
TCP,1.332523,60.0365,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11038720,5.27,22.827,0.758,16.5493,26.6233,22.7624,24.1445,24.9523,0.1632,0.2965,6.6429,0,0,0,0.2,10250,65535,A,10,0.0,10,1790,
TCP,1.331632,60.0766,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11038720,5.27,22.7653,0.7184,18.6426,25.8071,22.7003,24.0245,24.8115,0.1596,0.2686,3.9085,0,0,0,0.2,10250,65535,A,10,0.0,11,1791,
TCP,1.32548,60.3555,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11038720,5.27,22.7657,0.7804,17.1565,26.9483,22.7127,24.098,24.8877,0.1619,0.2862,4.5341,0,0,0,0.2,10250,65535,A,10,0.0,12,1792,
TCP,1.32493,60.3805,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11038720,5.27,22.7721,0.7968,17.8565,26.6385,22.7181,24.1588,24.889,0.1623,0.2795,4.4779,0,0,0,0.2,10250,65535,A,10,0.0,13,1793,
TCP,1.33071,60.1183,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11038720,5.27,22.7785,0.7369,18.7712,25.9261,22.7242,24.091,24.7556,0.1594,0.2703,3.8792,0,0,0,0.2,10250,65535,A,10,0.0,14,1794,
TCP,1.327172,60.2786,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11038720,5.27,22.8318,0.7602,18.8359,25.996,22.7856,24.1658,24.8184,0.1616,0.277,3.4794,0,0,0,0.2,10250,65535,A,10,0.0,15,1795,
TCP,1.344656,59.4948,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11038720,5.27,22.7702,0.762,19.3261,25.8427,22.713,24.1388,24.8044,0.16,0.2785,5.782,0,0,0,0.2,10250,65535,A,10,0.0,16,1796,
TCP,1.326834,60.2939,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11038720,5.27,22.7677,0.7539,19.1941,25.8186,22.7058,24.1031,24.7726,0.1599,0.2744,4.4608,0,0,0,0.2,10250,65535,A,10,0.0,17,1797,
TCP,1.321705,60.5279,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11038720,5.27,22.7359,0.7435,17.3432,25.6057,22.692,24.0152,24.671,0.1634,0.2911,5.4451,0,0,0,0.2,10250,65535,A,10,0.0,18,1798,
TCP,1.326159,60.3246,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11038720,5.27,22.7785,0.7778,17.1496,25.6248,22.7378,24.1226,24.7288,0.1628,0.2803,4.1895,0,0,0,0.2,10250,65535,A,10,0.0,19,1799,
TCP,1.330556,60.1252,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11038720,5.27,22.7198,0.7574,18.1293,25.718,22.6661,24.0443,24.6588,0.1603,0.2767,4.8512,0,0,0,0.2,10250,65535,A,10,0.0,20,1800,
TCP,1.334522,59.9465,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11038720,5.27,22.7785,0.7615,18.0616,26.052,22.7118,24.1578,24.9321,0.1593,0.2756,4.1867,0,0,0,0.2,10250,65535,A,10,0.0,21,1801,
TCP,1.331755,60.0711,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11038720,5.27,22.754,0.78,19.3287,26.4651,22.6986,24.1324,24.823,0.1596,0.2685,4.3085,0,0,0,0.2,10250,65535,A,10,0.0,22,1802,
TCP,1.330739,60.117,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11038720,5.27,22.7201,0.7434,19.0354,25.7192,22.666,24.0118,24.6251,0.1603,0.2686,3.8132,0,0,0,0.2,10250,65535,A,10,0.0,23,1803,
TCP,1.329743,60.162,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11038720,5.27,22.821,0.7494,18.7185,25.7782,22.7742,24.1283,24.7078,0.1605,0.2711,3.1341,0,0,0,0.2,10250,65535,A,10,0.0,24,1804,
TCP,1.329032,60.1942,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11038720,5.27,22.7743,0.7389,18.8427,25.225,22.7232,24.0866,24.6417,0.1617,0.2814,4.1985,0,0,0,0.2,10250,65535,A,10,0.0,25,1805,
TCP,1.323842,60.4302,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11038720,5.27,22.7924,0.7939,17.6922,26.1259,22.746,24.1528,24.9214,0.1622,0.2891,7.4008,0,0,0,0.2,10250,65535,A,10,0.0,26,1806,
TCP,1.322088,60.5103,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11038720,5.27,22.7296,0.714,18.5453,25.5186,22.6869,23.9707,24.5485,0.1616,0.2703,4.4685,0,0,0,0.2,10250,65535,A,10,0.0,27,1807,
TCP,1.32944,60.1757,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11038720,5.27,22.7446,0.7517,18.5304,25.5497,22.7071,24.0564,24.6392,0.1597,0.2703,4.2429,0,0,0,0.2,10250,65535,A,10,0.0,28,1808,
TCP,1.341139,59.6508,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11038720,5.27,22.7508,0.7359,18.2782,25.5889,22.7061,24.0198,24.7031,0.1591,0.2694,5.073,0,0,0,0.2,10250,65535,A,10,0.0,29,1809,
TCP,1.325535,60.353,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11038720,5.27,22.8262,0.7502,17.7075,26.2534,22.7776,24.1352,24.8162,0.1625,0.2805,5.4711,0,0,0,0.2,10250,65535,A,10,0.0,30,1810,
R-UDP,21.30258,3.7554,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11489280,9.57,20.7109,1.3113,15.7614,25.7064,20.7442,22.8333,23.6258,1.1216,1.0421,7.0156,,,,,,,A,10,0.0,1,1781,10
R-UDP,21.313026,3.7536,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11489280,9.57,20.714,1.3271,15.6934,25.3746,20.7409,22.8921,23.6926,1.1208,1.0415,6.6997,,,,,,,A,10,0.0,2,1782,10
R-UDP,21.277037,3.7599,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11489280,9.57,20.6829,1.3121,15.6175,24.9913,20.7088,22.8049,23.642,1.1269,1.0335,7.4029,,,,,,,A,10,0.0,3,1783,10
R-UDP,21.303854,3.7552,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11489280,9.57,20.7124,1.3225,14.339,26.0183,20.7272,22.8827,23.6827,1.1248,1.0436,7.8383,,,,,,,A,10,0.0,4,1784,10
R-UDP,21.308002,3.7545,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11489280,9.57,20.7121,1.3263,15.467,25.5341,20.7193,22.8801,23.8525,1.1257,1.0442,6.7203,,,,,,,A,10,0.0,5,1785,10
R-UDP,21.281632,3.7591,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11489280,9.57,20.6935,1.3034,16.044,25.6441,20.7246,22.7651,23.7224,1.1228,1.0375,6.8308,,,,,,,A,10,0.0,6,1786,10
R-UDP,21.286809,3.7582,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11489280,9.57,20.6978,1.3217,15.619,25.8498,20.6986,22.8436,23.6843,1.1483,1.0436,6.559,,,,,,,A,10,0.0,7,1787,10
R-UDP,21.286611,3.7582,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11489280,9.57,20.6905,1.3009,15.0249,25.5643,20.7266,22.8008,23.6268,1.1279,1.0358,6.5148,,,,,,,A,10,0.0,8,1788,10
R-UDP,21.287336,3.7581,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11489280,9.57,20.6942,1.3079,15.2834,26.1733,20.7112,22.7927,23.7117,1.1155,1.0468,7.4596,,,,,,,A,10,0.0,9,1789,10
R-UDP,21.282012,3.759,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11489280,9.57,20.6913,1.3402,15.7824,25.6147,20.6993,22.8543,23.8102,1.1375,1.0551,7.1869,,,,,,,A,10,0.0,10,1790,10
R-UDP,21.298453,3.7561,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11489280,9.57,20.7071,1.3053,15.4838,25.3863,20.7252,22.7938,23.7334,1.1167,1.0338,7.8456,,,,,,,A,10,0.0,11,1791,10
R-UDP,21.294609,3.7568,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11489280,9.57,20.703,1.3292,14.9689,25.8401,20.7234,22.8561,23.8046,1.1265,1.0321,7.263,,,,,,,A,10,0.0,12,1792,10
R-UDP,21.300816,3.7557,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11489280,9.57,20.7066,1.3227,15.321,25.339,20.7213,22.8553,23.7872,1.1247,1.0447,7.0595,,,,,,,A,10,0.0,13,1793,10
R-UDP,21.312641,3.7536,10240,10240,0,10240,10240,0,0,0,0,0.0,0.333333,10485760,10485760,11489280,9.57,20.7231,1.325,15.0106,25.4801,20.7571,22.8692,23.6503,1.1204,1.0471,6.8978,,,,,,,A,10,0.0,14,1794,10
