cenario,protocolo,metrica,delay_ms,taxa_perda,n_execucoes,media,desvio_padrao,erro_padrao,ic_95_inferior,ic_95_superior,margem_erro,margem_erro_pct,coef_variacao_pct,convergiu,min,max,mediana
A,TCP,vazao_mbps,10,0.0,30,60.15061,0.211321,0.038582,60.071702,60.229518,0.078908,0.13,0.35,Sim,59.6132,60.5596,60.18185
A,TCP,tempo_total_s,10,0.0,30,1.330011,0.004686,0.000855,1.328261,1.331761,0.00175,0.13,0.35,Sim,1.321012,1.341985,1.329305
A,TCP,total_retransmissoes,10,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Sim,0.0,0.0,0.0
A,TCP,rtt_medio_ms,10,0.0,30,22.773333,0.027907,0.005095,22.762913,22.783754,0.010421,0.05,0.12,Sim,22.721,22.8376,22.7675
A,TCP,jitter_medio_ms,10,0.0,30,0.160917,0.001179,0.000215,0.160476,0.161357,0.00044,0.27,0.73,Sim,0.1589,0.1638,0.16085
A,TCP,eficiencia_dados_controle,10,0.0,30,0.333333,0.0,0.0,0.333333,0.333333,0.0,0.0,0.0,Sim,0.333333,0.333333,0.333333
A,R-UDP,vazao_mbps,10,0.0,30,3.75605,0.00427,0.00078,3.754456,3.757644,0.001594,0.04,0.11,Sim,3.7475,3.7651,3.75615
A,R-UDP,tempo_total_s,10,0.0,30,21.299019,0.0242,0.004418,21.289982,21.308055,0.009037,0.04,0.11,Sim,21.247709,21.347402,21.298393
A,R-UDP,total_retransmissoes,10,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Sim,0.0,0.0,0.0
A,R-UDP,rtt_medio_ms,10,0.0,30,20.704417,0.022658,0.004137,20.695956,20.712877,0.00846,0.04,0.11,Sim,20.6572,20.7524,20.70275
A,R-UDP,jitter_medio_ms,10,0.0,30,1.12144,0.012256,0.002238,1.116864,1.126016,0.004576,0.41,1.09,Sim,1.0983,1.1476,1.12135
A,R-UDP,eficiencia_dados_controle,10,0.0,30,0.333333,0.0,0.0,0.333333,0.333333,0.0,0.0,0.0,Sim,0.333333,0.333333,0.333333
B,TCP,vazao_mbps,50,0.1,30,0.097253,0.020408,0.003726,0.089633,0.104874,0.00762,7.84,20.98,Nao,0.054,0.134,0.1014
B,TCP,tempo_total_s,50,0.1,30,864.77252,214.30357,39.1263,784.750252,944.794788,80.022268,9.25,24.78,Nao,597.009564,1480.535829,789.154806
B,TCP,total_retransmissoes,50,0.1,30,1256.1,36.092171,6.589499,1242.622962,1269.577038,13.477038,1.07,2.87,Sim,1183.0,1322.0,1258.5
B,TCP,rtt_medio_ms,50,0.1,30,106.594853,0.171961,0.031396,106.530642,106.659064,0.064211,0.06,0.16,Sim,106.3054,106.9334,106.60375
B,TCP,jitter_medio_ms,50,0.1,30,4.820313,0.183667,0.033533,4.751731,4.888896,0.068582,1.42,3.81,Sim,4.4798,5.1703,4.83735
B,TCP,eficiencia_dados_controle,50,0.1,30,0.368902,0.00063,0.000115,0.368667,0.369138,0.000235,0.06,0.17,Sim,0.367596,0.370008,0.369032
B,R-UDP,vazao_mbps,50,0.1,30,0.252833,0.004462,0.000815,0.251167,0.2545,0.001666,0.66,1.76,Sim,0.2461,0.2605,0.252
B,R-UDP,tempo_total_s,50,0.1,30,316.508187,5.559046,1.014938,314.432405,318.583969,2.075782,0.66,1.76,Sim,307.135895,325.049486,317.467114
B,R-UDP,total_retransmissoes,50,0.1,30,11257.7,284.04154,51.858653,11151.637146,11363.762854,106.062854,0.94,2.52,Sim,10799.0,11710.0,11210.5
B,R-UDP,rtt_medio_ms,50,0.1,30,107.43667,0.245203,0.044768,107.34511,107.52823,0.09156,0.09,0.23,Sim,106.7164,107.8916,107.4601
B,R-UDP,jitter_medio_ms,50,0.1,30,4.407787,0.090242,0.016476,4.37409,4.441484,0.033697,0.76,2.05,Sim,4.2528,4.59,4.4085
B,R-UDP,eficiencia_dados_controle,50,0.1,30,0.368891,0.000549,0.0001,0.368686,0.369096,0.000205,0.06,0.15,Sim,0.368002,0.370077,0.368915
C,TCP,vazao_mbps,100,0.2,30,0.003503,0.000305,5.6e-05,0.00339,0.003617,0.000114,3.25,8.69,Sim,0.003,0.0045,0.0035
C,TCP,tempo_total_s,100,0.2,30,23026.410005,1865.846043,340.655322,22329.691643,23723.128368,696.718363,3.03,8.1,Sim,17746.884508,26586.119344,22878.329706
C,TCP,total_retransmissoes,100,0.2,30,3224.733333,73.954288,13.502144,3197.118348,3252.348318,27.614985,0.86,2.29,Sim,3063.0,3393.0,3207.5
C,TCP,rtt_medio_ms,100,0.2,30,212.86923,0.568495,0.103793,212.65695,213.08151,0.21228,0.1,0.27,Sim,211.7811,213.9163,212.85185
C,TCP,jitter_medio_ms,100,0.2,30,16.126617,1.082886,0.197707,15.722261,16.530973,0.404356,2.51,6.71,Sim,14.0559,18.5218,16.05115
C,TCP,eficiencia_dados_controle,100,0.2,30,0.409815,0.001246,0.000227,0.409349,0.41028,0.000465,0.11,0.3,Sim,0.407842,0.411883,0.40956
C,R-UDP,vazao_mbps,100,0.2,30,0.067917,0.001217,0.000222,0.067462,0.068371,0.000455,0.67,1.79,Sim,0.0659,0.0702,0.06795
C,R-UDP,tempo_total_s,100,0.2,30,1178.238027,21.062268,3.845426,1170.373247,1186.102807,7.86478,0.67,1.79,Sim,1140.221958,1213.423452,1177.697629
C,R-UDP,total_retransmissoes,100,0.2,30,25611.333333,563.57133,102.893577,25400.89234,25821.774326,210.440993,0.82,2.2,Sim,24813.0,26771.0,25566.0
C,R-UDP,rtt_medio_ms,100,0.2,30,214.27995,0.479257,0.0875,214.100992,214.458908,0.178958,0.08,0.22,Sim,213.1049,215.1923,214.2519
C,R-UDP,jitter_medio_ms,100,0.2,30,11.52173,0.416954,0.076125,11.366037,11.677423,0.155693,1.35,3.62,Sim,10.5918,12.4637,11.52555
C,R-UDP,eficiencia_dados_controle,100,0.2,30,0.409704,0.000719,0.000131,0.409436,0.409973,0.000269,0.07,0.18,Sim,0.40785,0.411339,0.409776
