cenario,protocolo,janela,delay_ms,taxa_perda,vazao_media_mbps,vazao_desvio_mbps,retransmissoes_media,retransmissoes_desvio,timeouts_media,tempo_medio_s,tempo_desvio_s,saturou,n_execucoes
A,R-UDP,1,10,0.0,0.3887,0.0002,0.0,0.0,0.0,205.8355,0.113,Nao,10
A,R-UDP,2,10,0.0,0.7736,0.0005,0.0,0.0,0.0,103.4138,0.0634,Nao,10
A,R-UDP,5,10,0.0,1.9093,0.0022,0.0,0.0,0.0,41.8996,0.0472,Nao,10
A,R-UDP,10,10,0.0,3.7569,0.004,0.0,0.0,0.0,21.2941,0.0227,Nao,10
A,R-UDP,20,10,0.0,7.3371,0.0104,0.0,0.0,0.0,10.9035,0.0154,Nao,10
A,R-UDP,50,10,0.0,17.5546,0.0265,0.0,0.0,0.0,4.5572,0.0069,Sim,10
A,R-UDP,100,10,0.0,33.5115,0.0429,0.0,0.0,0.0,2.3872,0.0031,Sim,10
B,R-UDP,1,50,0.1,0.0607,0.0002,2467.3,31.31,2467.3,1318.6127,3.8759,Nao,10
B,R-UDP,2,50,0.1,0.1118,0.0004,2477.1,33.24,1238.7,715.4334,2.7561,Nao,10
B,R-UDP,5,50,0.1,0.192,0.0036,5711.8,203.68,1142.7,416.8822,7.844,Nao,10
B,R-UDP,10,50,0.1,0.2516,0.0038,11313.8,241.42,1132.1,318.0473,4.761,Nao,10
B,R-UDP,20,50,0.1,0.2896,0.0065,22692.0,533.74,1135.7,276.3613,6.3522,Nao,10
B,R-UDP,50,50,0.1,0.2787,0.0307,56689.8,1892.97,1136.1,290.9267,35.7275,Sim,10
B,R-UDP,100,50,0.1,0.2092,0.0562,113698.2,3313.76,1142.3,419.6567,142.223,Sim,10
C,R-UDP,1,100,0.2,0.0231,0.0001,5831.4,80.01,5831.4,3461.0719,20.0159,Nao,10
C,R-UDP,2,100,0.2,0.0417,0.0003,5846.1,79.53,2923.2,1919.6433,12.8971,Nao,10
C,R-UDP,5,100,0.2,0.0582,0.001,12627.7,204.97,2526.1,1375.8418,23.3774,Nao,10
C,R-UDP,10,100,0.2,0.0683,0.0007,25448.8,385.56,2546.4,1171.7874,12.6772,Nao,10
C,R-UDP,20,100,0.2,0.0695,0.0022,50997.5,1186.29,2552.5,1152.7685,37.4231,Nao,10
C,R-UDP,50,100,0.2,0.0475,0.0071,126832.7,3127.62,2543.1,1719.4331,246.1553,Sim,10
C,R-UDP,100,100,0.2,0.048,0.0069,253409.9,5248.17,2548.0,1697.8027,207.7855,Sim,10
